pubnub/chat-engine,codacy,2018-04-24T20:12:09Z,i think that codacy-bot doesn't like that you've only defined the var and never used it. you can do something stupid like ```syncchat.objectify()``` which returns json to resolve this. the proper solution is to create two lint configs. one for tests (where we can disable this) and one for src. where we can keep this enabled.,positive
canjs/canjs,sauce,2017-05-08T22:59:43Z,sorry morrme. the canjs builds are blocked because of the saucelabs configuration we're using for appium is no longer available. so this became higher priority. i look forward to your future contributions.,negative
tjunnone/npm-check-updates,eslint,2016-02-28T09:02:46Z,provide option to print upgradable packages as a simple list separated by spaces. especially for use with the global (`-g`) option. it would be useful if `ncu` was able to print the upgradable packages as a simple list of package names. separated by spaces. (eg. `babel-eslint eslint grunt-cli jshint jslint`) so that it could be copied and pasted (and manually edited) to be used in an `npm install -g babel-eslint grunt-cli jshint jslint` command (note that `eslint` was removed. as it must not be upgraded).,neutral
tjunnone/npm-check-updates,eslint,2016-02-28T09:14:11Z,btw. currently. i'm using the following. but it's a bit messy.`ncu -g | cut -d' ' -f2 | tr '\n' ' '`,neutral
tjunnone/npm-check-updates,eslint,2016-02-28T15:16:49Z,i just tried that. but the command `ncu -g --jsonall` doesn't output anything.,neutral
tjunnone/npm-check-updates,eslint,2016-02-28T17:25:44Z,yeah. we should fix that.,neutral
nodejs/citgm,eslint,2016-11-23T00:05:19Z,chore: do not double declare eslint. this is being included in both deps and dev-deps,negative
nodejs/citgm,eslint,2016-11-23T00:05:57Z,merging as this change is non controversial,negative
babel/babylon,eslint,2017-06-04T19:41:31Z,personally. i think more smaller projects is much better than one large. bloated. multipurpose project.separately. eslint is useful even when not using babel. and not everyone using babel uses eslint.,positive
babel/babylon,eslint,2017-06-04T20:04:52Z,thanks for your replies.as i understand. technically both `eslint` and `babel` developers can unite efforts to contributing of `acorn`. imho. if several projects use the same piece of software. they should unify it's interface and contribute to it together together.from developer point of view. work can be represented as stream from* compiling from `es6/7/etc` to `es5` according to `babel-env`* linting. static analysis (`eslint`)* minifying (`babili`)so. all tasks can be implemented as `acorn` plugins. isn't it?and. ljharb. management of big "bloated" project is not a problem with proper people.,negative
sasstools/sass-lint,eslint,2016-04-13T07:45:43Z,a question on how to disable a specific rule for a line or a block of lines. in eslint it is possible to disable a rule for a specific line in the following way:var unused; // eslint-disable-line no-unused-varsis there something similar in sass-lint ?also is there a way to disable a rule for a block of lines ?,neutral
sasstools/sass-lint,eslint,2016-04-13T08:03:05Z,not at the moment. please follow #402,neutral
rdf-ext/rdf-ext,mocha,2016-03-06T15:28:14Z,done. but i'd like to check if the test is working fine... the test package lacks of documentation. could you give me a quick hint how to execute the tests? something like `mocha rdf-test-graph/spec.js rdf-graph-array/index.js` i guess? i get a `typeerror: rdf.namednode is not a function`. so the rdf-graph-array implementation is not specified correctly...br.,negative
Automattic/mongoose,mocha,2014-05-31T09:59:45Z,the goal was to 'nodify' all the overheads of testing so you could just run `mocha` and the tests will run.,neutral
pouchdb/pouchdb,uglify,2015-01-10T15:53:14Z,(#3374) - fix some uglify warnings,neutral
pouchdb/pouchdb,uglify,2015-01-10T15:54:43Z,just some unused vars from the output of uglify. the rest are browser browserify and may take a look at fixing,neutral
pouchdb/pouchdb,uglify,2015-01-10T17:56:58Z,looks good. :+1: when green. :),positive
pouchdb/pouchdb,coveralls,2016-04-06T03:31:39Z,lol go home coveralls you so drunk,positive
pouchdb/pouchdb,selenium,2014-07-23T16:07:16Z,(#2519) - increase selenium timeout. default is 60 seconds; maybe 180 will give us more breathing room. especially with saucelabs.,neutral
pouchdb/pouchdb,selenium,2014-08-04T01:55:55Z,bower package way too huge. currently `bower install` grabs the `selenium-server-standalone` as well. which is way too huge for a normal frontend package. is it ok to get rid of it in `bower.json`?imho bower is for end users rather than developers. basically what the end users really uses are those in the `dist` directory. as for developers. they would use `npm` anyway.,negative
pouchdb/pouchdb,jshint,2014-08-12T04:13:47Z,(#2586) - add performance-bundle.js to jshintignore. forgot to do this when i moved it to the tests directory.,neutral
pouchdb/pouchdb,jshint,2014-08-12T22:51:40Z,f678c186813bac3b24df61d41b6f47ef5e7a5de0,neutral
vlucas/frisby,jasmine,2014-08-29T16:10:12Z,dsawardekar vlucas are you implementing this or is this an issue that is still unresolved?,neutral
vlucas/frisby,jasmine,2014-08-30T09:41:31Z,diablomarcus it's resolved for me at the moment. i ended up not needing single runs for the project i was working on at the time.,positive
angular/protractor,jasmine,2016-10-19T20:55:53Z,fix(config): add jasmine option to clear reporters. this adds an option in jasminenodeopts to clear all reportersbefore protractor registers it's own lifecycle reporter.this addresses an issue where the default jasminereporter conflicts with user registered reporters#3609,neutral
angular/protractor,jasmine,2016-10-19T21:00:20Z,we found a contributor license agreement for you (the sender of this pull request). but were unable to find agreements for the commit author(s).  if you authored these. maybe you used a different email address in the git commits than was used to sign the cla ([login here]( to double check)?  if these were authored by someone else. then they will need to sign a cla as well. and confirm that they're okay with these being contributed to google.<!-- need_author_cla -->,neutral
angular/protractor,jasmine,2016-10-19T21:03:06Z,commit was updated with the correct email address for cla.  commit author is the same in both cases.,neutral
angular/protractor,jasmine,2016-10-20T00:04:25Z,hi sakovias. i am having the same issue on with using --grep. did you happen to find any solution to skip beforeall for spec that does not match the grep value?,neutral
angular/protractor,jasmine,2016-10-26T13:46:26Z,awesome! thank you for looking into this. let me know if you would like me to test the fix for you.,positive
angular/protractor,jasmine,2016-10-26T17:57:38Z,dvanderb you'll need to respond with `i signed it!` for googlebot to check your cla,neutral
angular/protractor,jasmine,2016-11-10T13:07:20Z,for #3726 to fix this. we need to modify jasminewd a bit.,neutral
angular/protractor,selenium,2015-10-16T13:24:55Z,auto starting selenium server does not work with vpn. if we remove seleniumaddress in conf file. it should automatically start selenium server.however. i have been noticing that it doesn't work with vpn.  it stuck at starting server and it eventually time out.  does anyone experience the same?,neutral
angular/protractor,selenium,2015-10-16T14:26:04Z,there's nothing reproducible or actionable in your issue (i use protractor and selenium behind a vpn without problems). i think these sorts of things are best handled outside of the issues queue until we can actually isolate what the issue is.please feel free to update your issue with more details and an isolated problem. but try to keep debugging/discovery questions in more productive channels. keeping the issue queue clean makes it easier to actually solve problems once we know what they are. hopefully that makes sense. i don't mean to come off as dismissive or harsh; i'm just trying to get you help in the most productive way :),positive
angular/protractor,selenium,2015-10-19T16:25:41Z,fwiw. i am experiencing the same issue - i'd happily help try and identify the underlying problem (in the appropriate channel of course :wink: ).,positive
angular/protractor,selenium,2015-10-19T17:27:05Z,i can use protractor. with vpn too. it seems to me that it could be some wrong configuration in your vpn somewhere or in your firewall.,negative
angular/protractor,selenium,2015-10-20T07:22:17Z,as nick said. we're able to run on vpn fine. we can't reproduce this to investigate. i'm going to close this particular issue. but rbirbeck jlin412 if you have a set of steps we can use to repro on a particular vpn. please go ahead and open a new issue listing those. thanks!!,positive
angular/protractor,selenium,2015-10-22T18:55:44Z,the code is evaluated on the selenium server. not within protractor's codebase.,neutral
angular/protractor,selenium,2015-10-23T06:53:35Z,`process.stdin.on('data'. function(chunk) {` - it is nodejs code... webdriver-manager file in protractor's repository... so why it is evaluated on the selenium server?,negative
angular/protractor,selenium,2015-10-23T07:10:01Z,i mean i am wondering how and when 'data' event for `process.stdin` is generated. why does not it wait for receiving of the whole data and shuts down the selenium server by any chunk?,neutral
angular/protractor,selenium,2015-10-23T13:37:11Z,docs(readme): add instructions for starting selenium. trying to contribute something for the first time it wasn't completely obvious how to start a selenium server for running the tests.,neutral
angular/protractor,selenium,2015-10-26T21:23:52Z,merged in at f2371ef,neutral
angular/protractor,selenium,2015-10-28T18:21:46Z,can you explain how this helps. since reading the spec file should tell you the same thing.,neutral
angular/protractor,selenium,2015-10-28T18:33:14Z,this came up in a discussion with some cloud team members. the problem is that when you have a bunch of helper files and page objects. it can be a bit of a pain to find the list of commands that webdriver is seeing.this would be super easy to output if we had a webdriver proxy.,negative
angular/protractor,selenium,2015-10-29T17:20:26Z,nevermind. it was a problem with my selenium-server which was not updated.,neutral
angular/protractor,selenium,2015-11-09T15:04:39Z,its working fine when i use same xpath with my selenium script ..,positive
angular/protractor,selenium,2015-11-10T21:25:02Z,but. you still have to tell them to set the environment variable! i think the better way to solve this is:```  "config": {    "webdriver_manager_selenium_dir": "/abc/def/ghi"  }.  "scripts": {    "pretest":"webdriver-manager update --standalone --out_dir=$npm_package_config_webdriver_manager_selenium_dir"  }```,neutral
angular/protractor,sauce,2014-08-18T21:45:48Z,can i encrypt my saucekey?. i don't want to expose my `saucekey` to the world. is there any way to encrypt it?,negative
angular/protractor,sauce,2014-08-18T21:48:42Z,protractor doesn't support encryption of the key itself. you'll have to do it in some other way and then pass the string in to protractor - you can use the command line args: `--saucekey=$my_encrypted_key`,neutral
angular/protractor,sauce,2014-08-20T23:22:47Z,this isn't strictly true - you only need a tunnel identifier if you are using sauce connect. i think the method of using these is fairly well documented on sauce labs. so i'm not sure the documentation belongs here.,positive
appium/appium-uiautomator2-driver,eslint,2017-04-27T11:46:44Z,can you run the linter and fix the issues?```gulp eslint```,neutral
uber/tchannel-node,standard,2016-06-09T21:14:18Z,using host names as well as ipv4 addresses. right now tchannel accepts only ipv4 addresses to create socket. tchannel uses standard node 'net' module which accepts host names and ipv4 addresses. i believe we should allow users use any format which they want.,neutral
tapjs/node-tap,coveralls,2015-12-23T18:39:43Z,should running tests with coverage fail if coveralls command fails?. i have run into issues today where my tests pass. but coveralls is down. should this actually fail the build or is there a better way of handling an issue such as this?,negative
tapjs/node-tap,coveralls,2015-12-23T23:04:20Z,that's an interesting question.i'm not sure of the answer.  my general tendency is to favor failing if anything didn't go as expected. since otherwise you'll probably not notice. and then be surprised later.you can always re-try the build later when coveralls comes back. right?  maybe this could be a cli option or something?,negative
tapjs/node-tap,coveralls,2015-12-23T23:24:27Z,sure. retrying is no problem and i guess every developer will have his or her own preference on it? was just curious. i may take a look into adding an option in the future. but see no reason for this to stay open. thanks for your response!,positive
tapjs/node-tap,coveralls,2016-01-07T18:18:51Z,wait. so. coveralls can figure out the location without the `coveralls_repo_token`??  that's awesome. i had no idea!is it enough to check if `process.env.travis === '1'` then?  how does it figure it out?,positive
tapjs/node-tap,coveralls,2016-01-07T20:01:53Z,> i still find the coveralls_repo_token support usefulyeah. sure. it's presence should indicate you want it to upload. but it would be nice if that wasn't the only way to trigger it. use cases to cover:- the build is running on travis. but they don't want coverage uploaded (i.e. not using coveralls).- the build is not on travis. but they do want coverage uploaded. the presence of `coveralls_repo _token` is sufficient here.ideally you could reuse the same test script on travis and local dev machines. i've never had a use for uploading to travis from my local machine. so i definitely want `tap` to detect the environment. perhaps the best way to handle this would be to add a `--coveralls-if=travis` (a string flag that conditionally uploads if the specified environment variable is set). `coveralls_repo_token` continues to automatically trigger an upload.> i thought that travis always ran tests with the environment vars you set?"secure" environment variables are not available to pr's. otherwise i could just submit a pr with `console.log(process.env.xxx)` to get your token,neutral
tapjs/node-tap,coveralls,2016-01-07T22:36:51Z,there's basically no downside to uploading to coveralls from ci.the hazard i could see would be if a repo isn't set up with coveralls. what will the failure look like?,negative
jquense/yup,eslint,2018-05-02T10:22:52Z,jquense your solution does not seem to work for me as there are no arguments passed to the function.,neutral
benbria/coffee-coverage,istanbul,2015-12-11T23:34:50Z,yeah. i discovered some of the same stuff shortly after submitting this! at least. that `istanbul` very-usefully already supports multiple `coverage.json` files.i'm going to make a go of it later on. and i'll get back to you as to whether i was able to do it _usefully_ without writing javascript glue.,positive
balderdashy/sails,mocha,2014-01-13T13:30:24Z,validating should return an instance of error object. returning an instance of an error object in the validation callback makes it more aligned with the whole node ecosystem.for example. when running mocha tests like this:``` javascriptmodel.validate(function(err) {  if (err) return done(err);  done();});```the simple error object will trigger an error with mocha itself: `error: done() invoked with non-error: [object object]`,neutral
balderdashy/sails,mocha,2014-01-13T22:09:36Z,just fyi. if you do something like this instead``` javascriptmodel.validate(function (err) {  should.not.exist(err);  done();});```you get a more reasonable error message. i.e.```assertionerror: expected { object (validationerror) } to not exist```,neutral
balderdashy/sails,mocha,2014-01-27T12:22:34Z,set-cookie  for session for unlogged users.. hi.i like so much sails and i decided to use it. and cooperate in its evolution. congratulations!.i am using sails.js with passport.js with passport-local strategy. and use supergagent with mocha and chai for tdd.i expect the session cookie must be setted only on ok login api call.but it is setted on ok and wrong login api call. and on other apicalls that need to satisfy isauthenticated police when i send wrong session cookies. on apicalls sent with good session cookies. the session cookie isn't setted. it's ok for me.tests:1 ) if in the api call to login i send good credentials. the session cookie is setted ok. and works for api calls that need isauthenticated police. it's good.2 ) if in the api call to login i send wrong credentials. the session cookie is setted ( i expect no set-cookie for the session in this situation. ). but this session is wrong. and don't work for api calls that need isauthenticated police. it's so so.3 ) if i send wrong session cookie in the api calls that need isautheticated police. the session cookie is setted ( i expect no set-cookie for the session in this situation. ). but don't work if i use it in other api call that needs isauthenticated police ( i must add this additional test because the unspected set-cookie for session in unathorized apicalls )4 ) if i send ok session cookie ( obtained with a ok login prior api call ). the session cookie isn' t set ( it's ok ). and it works ok in futures api calls that need isauthenticated police. it's good.,positive
ioBroker/ioBroker,mocha,2018-09-05T18:36:05Z,the failure comes from windows/nodejs 10. where the installation of `request mocha chai` for the tests complains about a missing module - i cannot reproduce this on my local machine.everything else is looking good. i'm going to change the paths for the release now. so the following build will most likely fail.,negative
KeitIG/museeks,eslint,2017-02-20T08:49:13Z,comma-dangle: ["error". "always-multiline"]. we should respect this rule with eslint.,positive
cerebral/cerebral,coveralls,2017-05-17T23:23:46Z,that is why i marked it as wip and said that it is only a first step.my concerns was not only about publishing process.you may take a note that this approach doesn't involve long cross linking process that was happen with lerna bootstrap. here we have native module resolution mechanism.script to run tests was removed only because it was used lerna to run and coveralls is not. tests itself not gone. of course tests must be restored.i will prepare a list on what must be restored and improved. and i hope you guys could help with it. really i see a big improvements we can get with this approach.,positive
purifycss/purifycss,eslint,2016-09-30T12:28:55Z,selector regex fix. this fix solves the following:1) eslint octal errors (should be in separate branch really. but i couldn't run the tests without it)2) faulty selector regex - previously limited to only lowercase letters. now includes all valid css classnamesnote: i didn't do negative testing. so these changes _might_ mean that some other errant selector passes the new regex pattern and gets included when it shouldn't. but i don't think that likely.edit: hmm. apparently it now allows certain selectors when it shouldn't. gonna fix that and reopen the pr after i make the changes.,negative
purifycss/purifycss,eslint,2016-09-30T14:39:46Z,ok. i've added a commit that fixes that problem. unfortunately. this breaks one of the existing tests. i'm afraid i don't have the time to hunt down this bug as well. i suspect that with the new regexp. the "join" glue is captured (which probably suggests that there might be more false positives).,negative
keystonejs/keystone,eslint,2015-11-11T18:03:18Z,i'm all for adding both "one var per line" and "require dangling commas" to the linting rules. they both makes is easier to add/remove/reorder rows in arrays and objects and as you say doesn't break in any environments anymore.regarding how to best transition to new conventions; why not just edit `.eslintrc` and let the new rules trigger errors all over the place? whenever you work in an old file that uses the old conventions you probably feel like cleaning it up to get rid of the linting errors. and after a while the whole code base has been transitioned. ;)i think i prefer that than to have different conventions in different files and they all pass the linting rules.,neutral
keystonejs/keystone,eslint,2015-11-16T08:21:57Z,fix eslint error for double quotes,neutral
keystonejs/keystone,eslint,2015-12-10T00:07:13Z,review eslint. - remove nonexistant gulp task from package.json- change various eslint rules- enable recommended ruleset,neutral
keystonejs/keystone,eslint,2015-12-10T02:02:53Z,i like the rules. but definitely feel that the errors need to be addressed before merging this change. don't break the ci checks. =),positive
keystonejs/keystone,sauce,2016-09-28T10:15:55Z,jedwatson tests are only failing because of saucelabs. the push one passes. so if saucelabs wasn't erroring (too many active tunnels) then we'd be passing. can you merge this please?,negative
keystonejs/keystone,sauce,2016-09-29T12:29:39Z,build errors are just saucelabs failing. so i'm going to merge it,negative
keystonejs/keystone,mocha,2014-12-27T01:44:15Z,last time i looked at the mongoose source. i believe it exported a singleton. combined with node's caching of require calls and running `mocha -r test`. i'm sure there is a recipe for disaster in there somewhere.,negative
keystonejs/keystone,mocha,2015-01-05T20:37:02Z,closed due to - not an issue,neutral
rwjblue/ember-template-lint,eslint,2018-06-14T02:00:59Z,only report errors / hide warnings. is it possible to only report errors / hide warnings for the cli? something like the "--quiet" option in eslint?i was looking to integrate this in a ci setup with the "pending" config so my team could start using it. but i found out pretty quick that if there are errors. it also shows all other warnings too! so finding the error in the thousands of warnings doesn't really work. i played around with the code a bit and was able to make such an option. so i could take a crack at making a pr if you guys are open to it?,negative
rwjblue/ember-template-lint,eslint,2018-06-15T03:13:27Z,ya. definitely happy for a pr here...,positive
rwjblue/ember-template-lint,eslint,2018-06-17T23:48:22Z,ignore warnings / only report errors with "--quiet" option. resolves #428 if you pass "--quiet" to the cli. it will now remove warnings from the console output. i also updated the console output to show the number of warnings. like how eslint does:eg: ✖ 3 problems (2 errors. 1 warnings)i understand this may not be desirable in this pr. as each pr should probably implement one feature. so feel free to tell me that. i'm also new to nodejs (but not javascript) and tests in general. so constructive feedback is welcome!,positive
rwjblue/ember-template-lint,eslint,2018-06-18T20:38:40Z,prettier!. - [ ] stand alone `.prettierrc.js`- [ ] plug into eslint,positive
rwjblue/ember-template-lint,eslint,2018-06-18T20:41:54Z,add eslint plugin esque documentation grid to readme.. * list all rules* separate stylistic from rules from safety/error related rules* show which are in the recommended config,neutral
rwjblue/ember-template-lint,eslint,2018-06-18T23:52:44Z,oh! i completely forgot about `--json`. will do!,neutral
rwjblue/ember-template-lint,eslint,2018-06-19T01:57:29Z,rwjblue i have made the requested changes. please review.,positive
rwjblue/ember-template-lint,eslint,2018-06-20T02:25:07Z,rwjblue okay. take another look when you have some time. edit: whoops. accidentally clicked "close" lol.,negative
rwjblue/ember-template-lint,eslint,2018-06-22T00:35:20Z,absolutely!,neutral
rwjblue/ember-template-lint,eslint,2018-06-22T00:48:49Z,i've updated the readme. i think in the future it would be nice to have a section for the arguments you can pass. instead of just throwing more examples to the list  hehe. also. would you like me to rebase onto master?,positive
rwjblue/ember-template-lint,eslint,2018-06-22T00:54:02Z,thank you! i’ll try to get this released in the am (feel free to ping me if i forget )...,positive
rwjblue/ember-template-lint,eslint,2018-06-22T01:16:19Z,you're welcome. and thank-you for the feedback. sir!,positive
nodegit/nodegit,jshint,2015-02-27T18:46:29Z,oh. i didn't run `jshint lib test/tests examples lifecyclescripts`,neutral
haraka/Haraka,eslint,2017-09-02T23:07:16Z,eslint no-useless-escape. a recent release of eslint added `no-useless-escape` to the recommended ruleset. i reduced the severity of it to a warning for now.todo:* [ ] go through the list of warnings and fix them.* [ ] remove the rule from .eslint.json,neutral
haraka/Haraka,eslint,2017-09-02T23:28:26Z,> wow! it wasn't as bad as i thought. the first couple commits were `eslint --fix`. which caught the majority of cases. i didn't see a single error made by `--fix`. what it did do is leave behind quite a few manual changes. but they were straight forward: either hoist the const/let or add block scope to a switch/case with `{}`.,negative
haraka/Haraka,eslint,2017-09-03T01:35:28Z,so what i would like to do. if you agree. is push a quick point release for the outbound fixes before merging this. thoughts?> on sep 2. 2017. at 7:28 pm. matt simerson <notificationsgithub.com> wrote:> > wow!> > > > it wasn't as bad as i thought. the first couple commits were eslint --fix. which caught the majority of cases. i didn't see a single error made by --fix. what it did do is leave behind quite a few manual changes. but they were straight forward: either hoist the const/let or add block scope to a switch/case with {}.> > —> you are receiving this because you are subscribed to this thread.> reply to this email directly. view it on github. or mute the thread.>,negative
haraka/Haraka,eslint,2017-09-03T22:56:31Z,> the only thing i'd be adamant on is putting the eslint-disable comments at the top of the filei strongly disagree. putting them inside the scope they effect limits them to only the section of code that needs the exception. as well as making it way more obvious **why** they are needed. (hey ya'll. this chunk of code right here is an exception to the rule). it's no matter though. because i've removed them all as they were only needed before i found and set prefer-const's ignorereadbeforeassign option.,negative
jakubpawlowicz/clean-css,jshint,2013-08-16T06:47:05Z,update .npmignore.. remove the now removed .jshintrc and add .npmignore.,neutral
jakubpawlowicz/clean-css,jshint,2013-08-16T06:53:41Z,goalsmashers: which of the two ways do you prefer?,neutral
jakubpawlowicz/clean-css,jshint,2013-08-16T21:04:20Z,whitelisting is nicer so the `package.json` way seems better. could you merge both commits?,positive
jakubpawlowicz/clean-css,jshint,2013-08-17T05:44:06Z,done.,neutral
jakubpawlowicz/clean-css,jshint,2013-08-17T08:22:35Z,cool. just to be sure. `package.json` is included by default. right?,positive
jakubpawlowicz/clean-css,jshint,2013-08-17T08:26:53Z,```c:\users\xmr\appdata\roaming\npm\node_modules\clean-css>dir /bbinhistory.mdindex.jsliblicensenode_modulespackage.jsonreadme.md```,neutral
jakubpawlowicz/clean-css,jshint,2013-08-17T08:30:12Z,fair enough.,neutral
bitpay/bitcore,mocha,2014-11-21T13:18:01Z,code: ackmocha: 3194 passingindex.html: passes: 3166,neutral
bitpay/bitcore,mocha,2014-11-25T14:08:03Z,mocha tests: 245 passingcode: ack,neutral
bitpay/bitcore,coveralls,2015-01-23T02:23:53Z,change coveralls token,neutral
bitpay/bitcore,coveralls,2015-02-06T14:23:49Z,lgtm. waiting for coveralls,neutral
admc/wd,selenium,2015-01-20T20:53:53Z,add info about selenium server to docs. re: #266,neutral
admc/wd,selenium,2015-01-21T17:46:47Z,looks like you guys need to fix the build..,positive
admc/wd,selenium,2015-01-23T10:23:48Z,is there any possibility to get text from ui like gettext() command in selenium?,neutral
admc/wd,selenium,2015-01-23T12:52:06Z,it is a selenium client.,neutral
admc/wd,selenium,2015-01-30T02:01:36Z,check the selenium log. maybe it's some backlash missing in your binary path.,neutral
admc/wd,sauce,2013-10-08T02:35:10Z,wd doesn't support the sauce 'tunnel-identifier' desiredcapability. this is useful if you are running multiple tunnels and want to specify the one you want.,positive
admc/wd,sauce,2013-10-08T09:10:36Z,what does `wd` need to do? had a quick look at the doc. looks like passing it as desired parameter in `init`. and starting `sauce connect` with a special parameter should work.,neutral
admc/wd,sauce,2013-10-10T03:37:31Z,we are using this feature with intern and it works fine.,positive
admc/wd,sauce,2013-10-10T06:49:12Z,confirmed to work here too.make sure you pass the option as part of the desiredcapabilities hash. at the same level as "browsername" etc.le 10 oct. 2013 à 05:37. colin snover notificationsgithub.com a écrit :> we are using this feature with intern and it works fine.> > —> reply to this email directly or view it on github.,positive
angular-ui/bootstrap,karma,2013-11-25T19:52:29Z,run tests on both jqlite and jquery. from what i understand ui bootstrap is supposed to work without jquery. i suggest that we run jqlite tests as well.the specs would be able to run both with and without jquery. and karma should have two configurations (jquery and jqlite).i'll need to see how difficult this is. one way is to transition slowly by only adding the specs that are compatible with the jqlite testing in the jqlite karma config file.,negative
angular-ui/bootstrap,karma,2013-11-25T19:59:03Z,chrisirhc good idea. i was already beaten once or twice by different behaviors of jquery and jqlite. the real issue. though. is that we are using jquery selectors to use dom-based testing and replacing it would be rather hard. maybe the following trick would work: we should load jquery _after_ angularjs (so it is using jqlite) and explicitly use `jquery` when needed. but it all would require a bit of gymnastic so i'm not sure it is worth it in the end. feel free to play with the code to see what you can come up with.we could easily have a separate karma config for ci. this is not an issue.,negative
angular-ui/bootstrap,karma,2013-11-25T21:30:23Z,pkozlowski-opensource just wrap them:```  function contents() {    return $(elm).find('div.tab-content div.tab-pane');  }```,neutral
angular-ui/bootstrap,karma,2013-11-28T07:32:56Z,pkozlowski-opensource i started pr #1318 refactoring specs (only typeahead for now) to be able to run tests based with jquery/jqlite. let me know your opinion,neutral
pypyjs/pypyjs,selenium,2015-12-17T06:48:15Z,oh. gotcha. i didn't know about `exec`. thanks for the help. it's working just fine now.,positive
angular/angular-cli,jasmine,2017-05-04T13:46:28Z,most of these are karma / jasmine issues rather than cli issues.at the moment the cli is committed to only supporting one test tooling chain. which is karma and jasmine. since there cannot be hidden 100% like a bundler is (because you use the test framework apis in your tests). the choice is also exposed to the users. this has nice side effects like:- you can easily add / replace karma reports in karma config- you have full control over the `test.ts` file used to run the testsalso. if you agree to give up calling `ng test` (replacing it with a `test` npm script for example. so you just run `npm test`). you can easily move away to jest if you prefer to. i have tried it myself in a medium size real project and found it pretty easy.it's worth mentioning that the built in jasmine html reporter does allow you to click on a single test or suite of tests and only have these run. and the cli itself supports a watch mode (enabled by default actually. and can be changed either per cli call. or by changing the default in karma config). it's not a jest-style watch for changed files only. but that's because it's simply not jest. it's karma + jasmine.,positive
angular/angular-cli,jasmine,2017-05-08T13:13:56Z,it is really odd issue. it seems after i disabled the karma-jasmine-html-reporter. and ran several cases. and then enabled karma-jasmine-html-reporter again. it suddenly works.,negative
angular/angular-cli,jasmine,2017-05-09T02:32:42Z,filipesilva i can reproduce this on a new machine. just follow the steps wind13 gave. although i got my macbook work. today i ran into this on a linux machine as well. and it seems it did not get around this by disabling and enabling karma-jasmine-html-reporter.,neutral
angular/angular-cli,uglify,2018-04-23T13:38:26Z,+1,neutral
kirjs/react-highcharts,mocha,2016-03-25T19:13:17Z,running without webpack. i am having a problem with importing highcharts/highstock without webpack.i am importing highstock like this```import reacthighstock from 'react-highcharts/bundle/reacthighstock.src';```and then using it like this (amongst other ways)```reacthighstock.highcharts.setoptions(theme);```this works correctly when bundled with webpack.when ran without it. via mocha. everything still works except the shown import. which does now equal some webpack object.i really need to run my tests directly without first running through webpack. how can i do that?,neutral
kirjs/react-highcharts,mocha,2016-03-28T17:27:22Z,try require maybe instead of import?,neutral
kirjs/react-highcharts,mocha,2016-03-28T19:33:20Z,oh. i forgot to mention it but i also tried require and it seems it worked exactly as 'import'. no difference whatsoever.it took me some time to figure it out. but it is definitely very weird. no other component in a big project exhibited such behavior.,negative
cssinjs/jss,codecov,2016-12-13T23:37:37Z,maybe it would be much simpler to just add coverage for jss itself here and for all other repositories separately in the corresponding repository the same way. should be easy. right?,neutral
bbc/bbc-a11y,standard,2017-11-15T15:39:01Z,i'm happy to change the wording. but there are many other instances of 'standard' in the code. so i would argue this makes the language _less_ consistent without a lot more replacement. do you think there any cases where the word 'standard' is correct. or can we replace all cases?,negative
bbc/bbc-a11y,standard,2017-11-15T15:47:43Z,hi josh.i think we need to change all occurrences of "standard" for "guideline". once the new team site goes live (soon!) then the html v2 standards will be going away and becoming a guide.long term we'll have "guides and guidelines" where the guides are all platform specific guides to how to confirm to the guidelines. hope that helps.jamie + lion,positive
bbc/bbc-a11y,standard,2017-11-15T16:21:52Z,agree that referring to the guidelines as standards needs to be changed. i'm always wary of sweeping find-all-and-replace. however. as they sometimes pick up uses of a word that are correct and should not be changed.,neutral
bbc/bbc-a11y,standard,2017-12-01T14:32:47Z,move minimum text size under content resizing for now(and update manual testing questions - e),neutral
bbc/bbc-a11y,standard,2017-12-01T14:34:42Z,review docs,neutral
bbc/bbc-a11y,standard,2017-12-01T15:04:23Z,fantastic work josh! it's really taking shape well. last few points to wrap up and this should be good to merge. make the repo public again. and get the pre-release created.,positive
onsip/SIP.js,eslint,2018-07-12T16:00:18Z,travis is reporting it can't find "eslint" on node 6. but it worked on previous passes. i recently saw this on another project and the fix was clear travis's cache.could someone clear out the travis cache for this pr please?,positive
gatsbyjs/gatsby,eslint,2016-07-26T16:38:23Z,oh so sorry about this... we'd run across this same problem elsewhere but missed fixing this one :-( thanks for the pr! i'm sure it'll save a lot of other people trouble.the pr looks great other than an eslint error. if you could fix that. i'll get this merged and cut a new release.,positive
mcollina/mosca,mocha,2014-06-27T07:18:38Z,that's harder than i thought. as i'm using random to generate a disambiguation id for the message. causing the fact that we may have messages delivered not in order.the 'stop the world' thing you are seeing is mocha trying to calculate the diff between two 16kb buffers.skip that test. i'll work on it.,neutral
