ashiina/lambda-local,mocha,2016-04-09T12:34:17Z,added lambda properties. refactored. wrote mocha test,neutral
sequelize/sequelize,jasmine,2012-11-06T12:22:10Z,sdepold i wrote tests in **spec-jasmine/sequelize.spec.js** because there's existing section for 'define' which is not in **spec/sequelize.spec.js**.if you want it to be under **spec/**. please let me know if entire 'define' section or just new tests need be moved.,positive
sequelize/sequelize,jasmine,2012-11-06T19:10:58Z,the tests for jasmine are good enough. i will convert them in the future. thanks for the pull request!,positive
sequelize/sequelize,jasmine,2012-11-06T23:55:31Z,the test suite is confusing me. there are two directories - `spec` and `spec-jasmine`. to confuse things further there are two testing tools in use - jasmine and buster.are any of these directories/tools "legacy"? where do i put my test and what tool do i use?,negative
sequelize/sequelize,jshint,2015-10-13T08:09:44Z,ok just found the `make test-unit` command to bypass jshint,neutral
sequelize/sequelize,jshint,2015-10-13T08:10:56Z,jshint checks for syntax / style errors. but it should also output the actual error. unless it's not installed properly?,neutral
TryGhost/Ghost,mocha,2014-03-04T22:40:46Z,same thing happens with mocha which is why the mocha task is weird btw,neutral
PeterStaev/NativeScript-Drop-Down,uglify,2017-05-01T05:51:34Z,removing angular from uglify excludes.moving initial `setselection` for android to `initnativeview` to solve error in some contexts of `cannot read property ‘setselection’ of undefined. undefined`.,neutral
dmvaldman/samsara,eslint,2016-02-05T22:45:44Z,i am not very familiar with samsara and its structure. nor with how developers would benefit from importing only a few modules and not the whole library. but the es2015 syntax for modules allows the importation of specific object inside modules:  `import { surface } from 'samsara'`is this what you mean?regarding the implications of moving to es2015: it would indeed probably mean adding a 'tasks' folder. with the webpack config file and a basic express server. but in my opinion. it isn't too bad of a requirement / feature. the dev workflow with webpack. especially when combined with hot reloading and eslint. is really nice and productive. i have set up quite a few projects with webpack / babel lately. so i could help you moving forward with it if you want.,negative
nightwatchjs/nightwatch,mocha,2015-04-17T14:56:31Z,i hope that the `--testcase` cli argument is good enough for now? otherwise re-open and state your use case.,positive
linkedin/dustjs,jasmine,2012-08-16T09:13:03Z,was just working on the error throwing thing. my question is. how do i write jasmine tests that check if an exception has been correctly thrown? thanks!,positive
linkedin/dustjs,jasmine,2012-08-22T13:46:12Z,jairodemorais has already split the tests from rgammar/core and helpers.closing this,neutral
linkedin/dustjs,jasmine,2012-08-28T19:15:30Z,1- both runs the same suit. but dust core unit test are inherited code. we are using jasmine for browser and nodejs code.2- make jasmine runs the jasmine test. make test runs the inherited tests.3- we could fix the make file to use cover from the node_modules folder.4- agree.,neutral
angular-fullstack/generator-angular-fullstack,karma,2014-03-07T00:06:56Z,chrisblazek if you create a completely new app. it should scaffold the karma.conf correctly using the `test/client` folder. you may need to update your `generator-karma`.,neutral
angular-fullstack/generator-angular-fullstack,karma,2014-03-10T11:08:45Z,i stumbled over the same conflict but it is possible to install them in parallel if you install in a certain order:1) if installed uninstall the generator-angular-fullstack and the generator-karma: npm -g uninstall ...2) install generator-angular3) install generator-angular-fullstack^^^^ this installs just fine but i have not checked if there are any problems with karma  development time.,positive
webpack/webpack,standard,2016-05-10T03:44:59Z,could you try upgrading to standard 7? feels like a standard related bug to me.,negative
webpack/webpack,standard,2016-05-10T03:57:34Z,ok. the next step would be digging into eslint. maybe logging near the offending line would give better insight. it might stem from standard-loader configuration somehow so that's another place to inspect.,neutral
webpack/webpack,standard,2016-05-10T13:55:20Z,ok. you could consider reporting this upstream to `standard-loader`.,neutral
webpack/webpack,standard,2016-05-14T13:05:56Z,simenb look like in your case a custom cli tool for the build is more suitable. you basically build one. you can just move the cli stuff from the `webpack.config.js` into a `build.js` and start webpack from this file (by using the node.js api).there were a couple of reasons why i decided to disallow custom arguments:- webpack can error when passing incorrect or deprecated cli arguments. this should help users when using the cli.- webpack.config.js is a "pure" module. input -> output. it should not read stuff from the enviroment.- new tools can emerge which can use the webpack.config.js. examples:  - split the build process into multiple processes. each calling the webpack.config.js. this would not work if the webpack.config.js reads the arguments.  - build combinations which call the webpack.config.js which different combinations of options. a standard format of passing arguments to the webpack.config.js helps a lot here.  - etc.,negative
webpack/webpack,standard,2016-05-18T10:13:03Z,`npm install --save-dev style-loader` and `npm install --save-dev css-loader` make it working for me. looks like these modules are no longer a part of standard bundle.,neutral
webpack/webpack,uglify,2017-09-02T14:32:28Z,working on a minimal repro and haven't been able to trigger it yet.  on my real application. uglify-es is minifying webpack's output: ```jsvar async = __webpack_require__("./store/middleware/async.js")```to ```jsvar t=["e"];```unsure if webpack. uglify or something else is at fault.  will follow up.,negative
webpack/webpack,uglify,2017-09-07T20:02:15Z,this should respect the `devtool` setting. or at least detect that `devtool` is set to produce source maps and emit a warning if the equivalent uglify plugin option is not set.,neutral
webpack/webpack,uglify,2017-09-10T14:51:55Z,issue was closed because of inactivity.if you think this is still a valid issue. please file a new issue with additional information.,positive
gsklee/ngStorage,karma,2015-03-07T00:01:08Z,npm install ng-storage is huge!. `npm install ng-storage` installs all devdependencies. which is 50mb of filesplease can you consider moving all the grunt and karma stuff and so on into devdepencies?,neutral
gsklee/ngStorage,karma,2015-03-07T09:28:25Z,this repo is not maintained by the owner. please find an alternative: angular-locker for example.,neutral
gsklee/ngStorage,karma,2015-03-07T09:35:42Z,what do you mean by 'the owner'?  you mean. you are an onlooker. who monitors the issues in this project a bit. but you are not the owner. and neither you. nor the owner. are maintaining ng-storage?(edit: seems like you have a fork. but your fork is not published to npm either? any chance you can publish your fork to npm. in such a way that installing it into a project is not going to drag in 50mb of dev dependencies each time? :-p),neutral
gsklee/ngStorage,karma,2015-03-07T13:06:11Z,yes. you are right about me. i am looking after this project and guiding people to find an alternative because the owner is not responding anymore. i've used ngstorage for a single project and had to fix some annoying bugs to finish the project. i found later that the way ngstorage is built is not the best way. you'd better have a service for a storage layer. be it localstorage or a database. the architecture is the same. so i don't maintain ngstorage because there are better and more complete and maintained alternatives to do the same thing better way.if you still not convinced and want to use ngstorage. you can do the necessary changes yourself. just fork my fork. make changes you want. then install directly from the github url. not from the npm registry. that's how i used my changes for my project.,negative
gsklee/ngStorage,karma,2015-03-07T13:54:17Z,hmmm. ok.  ng-storage is easier to use. but if it's going to be buggy. then. fine. i already have a dozen or two repositories to my name. and don't want to spread myself too thinly...for now. i will just do what i did in the end: just directly added ngstorage.min.js to my project. rather than adding it to project.json or bower.json.,negative
prebid/Prebid.js,standard,2017-07-31T13:18:34Z,removed the standard/object-curly-even-spacing eslint exclusion. ## type of changecode style update (formatting. local variables)## description of changeremoved the standard/object-curly-even-spacing eslint exclusion for #1206,neutral
prebid/Prebid.js,eslint,2017-07-25T17:59:02Z,swiiip it looks like the build is failing due to linting errors. can you rebase 1 more time please and run `eslint --fix` on your file (or use your favorite editor to lint fix).,positive
prebid/Prebid.js,eslint,2017-07-31T13:12:22Z,remove new-cap eslint exclusion. ## type of changecode style update (formatting. local variables)## description of changeremoving the `new-cap` eslint exclusion for #1206,neutral
vega/vega-lite,mocha,2015-07-19T17:52:12Z,line numbers in mocha are all incorrect. .. this is quite annoying for debugging tests ...,negative
pouchdb/pouchdb,jshint,2013-07-31T02:38:57Z,so i am less certain about this now. browserify doesnt look to love the idea of having optionally loaded modules for browser vs node. most of the things it is used for seems to write abstractions underneath node libraries (like backing leveldb with idb) but that isnt an option for uscurrently refactoring everything so we rely much less on globals and expose each file through an individual object. a nice way to check is that the jshint global definitions should match the optional require statements and the code inside the node check should only ever be requires. once that is true then it should be pretty trivial to test browserify,positive
pouchdb/pouchdb,sauce,2012-09-25T02:41:26Z,some more work on the ci tests. updating the qunit. this helps to watch the results in saucelabs as the current tests info stays on the top of the page.  starting to store test results in the db to be aggregated,neutral
pouchdb/pouchdb,sauce,2012-09-25T04:30:40Z,dont merge this yet. i have a few changes to make on my fork to get it perfect. just wanted to show what is coming...,neutral
pouchdb/pouchdb,sauce,2012-09-25T04:47:20Z,btw. this is messing up the ci tests...i have a support request in with saucelabs to see if they can help. i am guessing there are switches you can start the browser with to disable those security prompts.,negative
pouchdb/pouchdb,sauce,2012-09-28T16:00:05Z,few notes. now that i understand this i will help towards getting it done. just writing down some notes for stuff that should get done. i will do them later or you can. see who gets there first :pnode_modules should be committed to the repo. cors-proxy should be as well. we should split out the actual test files from the utility stuff that tuns the tests,positive
pouchdb/pouchdb,sauce,2012-10-02T01:05:10Z,dale. i think we need to get a subset of the tests to run on suacelabs. lets start small and work up. i would rather have a small set of tests that work as opposed to the massive set currently that is really flaky. can i get you to do some basic smoketests that check if large grain things work?,neutral
pouchdb/pouchdb,sauce,2012-10-07T13:35:53Z,make sure travis only triggers a single build at a time. to make sure we provision the saucelabs vm's properly we want to make sure that only a single test run is executing at any timethis means that multiple commits or pull requests defer their tests until the previous run has completed.sounds tricky,neutral
pouchdb/pouchdb,sauce,2012-10-16T03:52:58Z,minor refactor of saucelabs linting errors,neutral
vlucas/frisby,jasmine,2013-09-02T01:22:21Z,never mind. using --captureexceptions revealed a socket hang up(no idea what that is. but i guess it stops frisby/jasmine from finishing properly.),negative
vlucas/frisby,jasmine,2013-09-11T20:35:52Z,oh looking at past issues. looks like it fires but doesn't report due to jasmine-node.,neutral
mojotech/pioneer,selenium,2014-12-15T14:21:16Z,better errors details. i just got```c:\t\node_modules\pioneer\node_modules\selenium-webdriver\lib\webdriver\promise.js:1643      throw error;            ^assertionerror: expected false to be true```what is going on? i don't even know what failed... not even the line... nothing.,negative
mojotech/pioneer,selenium,2014-12-15T14:30:04Z,without looking at your code it is hard to help with this error.,negative
mojotech/pioneer,selenium,2014-12-15T14:53:11Z,the problem was very easy to solve because i just had a test. this is not the question. the issue is why the lib doesn't show the file and the line where the error happened?,negative
angular/protractor,jasmine,2015-11-01T15:23:54Z,test(jasmine): add failing test for custom matchers on a not-present element. custom matchers fail if used on an element that is not present (not in the dom). but only if used more than 2 times.this specs show this. will open an issue after the travis build fails.,negative
angular/protractor,jasmine,2015-11-01T23:27:32Z,thanks for bringing this up. i feel like this is better handled in the issue you opened unless your pr is updated with a fix; you could still keep your fork as an example. i'll defer to an actual maintainer on that though :),positive
angular/protractor,jasmine,2015-11-02T06:46:12Z,i made the pr so that the maintainers could easily see how the specs are failing on the travis build. it's not intended to be merged.,negative
angular/protractor,jasmine,2015-11-02T16:41:02Z,i found the bug. i think.the bug was in `jasmine-core` module.`jasmine-core` was not able to throw an error (a 'file not found' on an imported file) because it does not consider the scenario in which the suite  is `undefined`.i think the suite  was `undefined` because who invoked `jasmine-core` was in `beforeall()` method (that was outside of any `describe()` ).like the following:```beforeall(...);describe('first suite'. function(){  ...});```,negative
angular/protractor,jasmine,2015-11-10T19:55:22Z,thanks for the actual example. this is helpful. this smells like a webdriver control flow issue - let me try it with the latest master.,positive
angular/protractor,jasmine,2015-11-10T21:11:36Z,with the latest webdriver. this does not give the element not found errors. instead. it occasionally errors because it doesn't grab the correct text from the element. the problem isn't deterministic. however. the failures only occur when doing the animation toggle. so i think that the issues are with waiting for the animation. not with the custom matcher.can you reproduce on master with something other than the animation toggle?,negative
angular/protractor,jasmine,2015-11-12T11:15:56Z,i ran my test suit on the master branch of protractor and it didn't have this issue anymore.i'll close the issue.are you interested in merging in any of these specs (once a proper wait for the animation has been added)?myself. i feel like protractor test suit could benefit from specs on custom matchers. in file dedicated for that. since currently there is only one spec for that.,positive
angular/protractor,jasmine,2015-11-12T20:56:58Z,sure. i'd be happy to take a look at a pr adding more tests. feel free to open up a new one! i don't think it has to be related to the animation stuff at all. for now. i'm going to close this since it seems to no longer be an issue.,positive
angular/protractor,standard,2015-11-10T21:31:39Z,i'm closing this as i still don't think we should be adding new. non-standard environment variables. and i'm convinced that npm already provides the tools to do this. thanks for your work (and for using protractor in your teaching!).,positive
angular/protractor,selenium,2014-10-24T10:23:38Z,after some time with the node debugger. i've discovered the problem: it's a deadlock in _webdriver_'s `flow` due to a bug in the way _webdriver_ waits for asynchronous tests to complete.i created a patch for `testing/index.js` (in the `selenium-webdriver` package) that fixes the problem. i still have to run all `webdriver` and `protractor` tests to make sure that it doesn't break anything.i'll update this ticket as soon as the fix is confirmed.,negative
angular/protractor,selenium,2014-11-06T21:40:53Z,`../../selenium/chromedriver` is the 'default' location in that it's where chromedriver gets downloaded if you use `webdriver-manager`. you should still be able to use the `chromedriver` param to specify the actual path to your location of chromedriver if it's not default. is this failing?,negative
angular/protractor,selenium,2014-11-12T09:34:26Z,browser.navigate().back() does not seem to work in tests either.,neutral
angular/protractor,sauce,2013-08-27T19:59:31Z,more sauce-related fixes. now correctly setting pass/fail status of sauce jobs. and turned up the timeout on testing for angular to deal with some ie issues,neutral
angular/protractor,sauce,2013-08-28T21:51:37Z,merged as 23e7d9562a0572223f84da47e2b361ca1b277e0c,neutral
angular/protractor,karma,2015-08-20T11:49:05Z,thanks for every one. iam very new to protractor this helped me a lot and also can any one send the links to learn protractor?,positive
ripple/ripple-lib,mocha,2013-10-30T05:14:10Z,try `node_modules\.bin\mocha test\*-test.js`,neutral
tapjs/node-tap,mocha,2017-01-20T18:43:22Z,nevermind. got it working a bit better than in v9. actually.  just had to drop the `t.current()` dependence.,negative
tapjs/node-tap,mocha,2017-01-26T22:39:36Z,good point about console.log or other statements interspersed with the tests.  i personally haven't realized the usefulness of synchronous relationship between code inside and outside of the tests. (and i would love to see the cases where it is important... really and sincerely mean that.  i'm not doubting that it is super useful. just saying i haven't seen the need yet in my testing.) having the bodies of the tests themselves synchronous in relation to each other. has been all i needed so far:so for the example above. i would do:```javascriptvar t = require('tap')t.test('child'. function (t) {  console.log('before')  t.pass('this is fine')  t.end()  console.log('after')})```but i would be happy to enrich test-kit to allow synchronous statements outside the tests:```javascriptt.log('before')t.test('child'. function (t) {  t.pass('this is fine')  t.end()})t.log('after')```... where <code>t.log(..)</code> could just be a special case of a general hook we could make:    t.sync(function() {...})that executes statements sequentially/synchronously with respect to the tests.  (i agree very much with your earlier point that messing with console.log is a *bad* idea).as for the point about settimeout()... i'm not sure i would worry about that case because the cost of solving it exceeds the handiness of .only(). which is just there to save time when i want to quickly hone in on a test.  but if we wanted a way to hone in on certain tests. we could add another method to t that turns tests on and off by their name and/or number:t.only(1). would run only the first test.  in fact. i might want to put a statement like this at the top of the test file and eliminate all the async stuff in test-kit (make it opt-in).... hadn't thought of that until just now.  i mean it's nice to switch tests on and off right at the test. but putting the statement early in the module might be 'good enough'.,negative
benbria/coffee-coverage,mocha,2014-12-19T22:11:48Z,no. this is something else. it would allow you to avoid creating a register-handlers.js file in each project for default configurations (i.e. just coffeescript. no streamline etc.).,negative
benbria/coffee-coverage,mocha,2014-12-20T17:05:46Z,devongovett thanks for pointing this out. since the options are hard coded. how about reading these from a coffeecoverage.conf json configuration file from the cwd?in this file one could specify multiple different configurations. e.g.```{    "default" : { ... }.    "mocha" : { ... }}```with the above register script then looking for the key mocha and the command line utility looking for the key default or some other user specified key.,negative
benbria/coffee-coverage,istanbul,2014-12-17T22:41:35Z,i have tried to reuse existing istanbul reports but this always failed as istanbul uses __coverage__ for its coverage data and coffee-coverage fails on using a user defined coverage variable name specified via the -c option. see #24  for more information.,neutral
wix/tspoon,karma,2016-07-27T16:11:10Z,upgrade lodash and karma,neutral
meanjs/mean,mocha,2015-08-06T06:57:48Z,updating user model tests for synchronous test and fixing done() calls. refactoring the async nature in the user model tests to account for mocha 2 second timeouts causing travis-ci build fails,negative
meanjs/mean,mocha,2015-08-06T13:53:11Z,ilanbiala i updated and squashed. this should solve still the async/sync issue with that one test.,neutral
meanjs/mean,mocha,2015-08-06T21:21:30Z,thanks. i'll merge.,positive
meanjs/mean,mocha,2015-08-07T11:44:20Z,running "server" taskmean.js - test environmentenvironment:                    testport:                           3001database:                                "mochatest:src" (mochatest) task  article model unit tests:    method save      √ should be able to save without problems      √ should be able to show an error when try to save without title  article crud tests    √ should be able to save an article if logged in (127ms)    √ should not be able to save an article if not logged in    √ should not be able to save an article if no title is provided (55ms)    √ should be able to update an article if signed in (81ms)    √ should be able to get a list of articles if not signed in    √ should be able to get a single article if not signed in    √ should return proper error for single article with an invalid id. if not signed in    √ should return proper error for single article which doesnt exist. if not signed in    √ should be able to delete an article if signed in (70ms)    √ should not be able to delete an article if not signed in  user model unit tests:    method save      √ should begin with no users      √ should be able to save without problems (43ms)      √ should fail to save an existing user again (45ms)      √ should be able to show an error when try to save without first name      √ should confirm that saving user model doesnt change the password      √ should be able to save 2 different users (51ms)      1) should not be able to save different user with the same email address  user crud tests    √ should not be able to retrieve a list of users if not admin (57ms)    √ should be able to retrieve a list of users if admin (59ms)  20 passing (3s)  1 failing  1) user model unit tests: method save should not be able to save different user with the same email address:     error: timeout of 2000ms exceeded at null.<anonymous> (c:\users\rmlopes\meanprojects\meancegi\node_modules\mocha\lib\runnable.js:139:19)      at timer.listontimeout (timers.js:119:15)there you go. as you can see i am running this on a windows machine (even though it should not make a difference in this case). the remaining phantomjs tests are all marked with success.,neutral
meanjs/mean,mocha,2015-08-07T21:43:51Z,fixing user model test's last test which fail or report a false positive. fixing up a user model test which was not setup correctly without the async done() callback. which led to false postivies. adding timeouts to the test ensures that the test completes in time. otherwise mocha's 2s timeout will fail the test,negative
meanjs/mean,mocha,2015-08-09T18:48:46Z,ilanbiala  mleanos review please?,positive
meanjs/mean,mocha,2015-08-10T21:57:00Z,ilanbiala we're good?,positive
meanjs/mean,mocha,2015-08-13T05:45:45Z,i'd like to push this fix in as well as other tests i have worked on in another pr asap so we can get that tests safety next as wide as possible.anything else codydaig ilanbiala mleanos ?,positive
meanjs/mean,mocha,2015-08-13T08:10:37Z,yes lgtm.,neutral
rooseveltframework/roosevelt,standard,2017-05-31T01:42:13Z,timeout on validator initalization. we should set a good chunk of time before we decide that for some reason html validator initialization failed and then just print an error to the user saying validation is disabled because of a problem and move on. otherwise the app will hang and never start because right now the validation initialization is blocking; if it never completes the app never finishes startingmaybe something like: wait 30 seconds or so. provide the warning. and print standard out from the `exec` (so that they can file an issue with that or look into things further?)related to #143 and #135,neutral
rooseveltframework/roosevelt,standard,2017-06-02T15:01:37Z,while this being worked on. it might be nice to add onto #153 and specify in any error case including a timeout that validation is turned off because (some reason) continuing without it,neutral
brave/browser-laptop,uglify,2017-08-14T18:25:42Z,petemill awesome. thanks for the detailed analysis! :) seems like uglify-es is a clear winner vs babili. i've squashed it into this branch.,positive
brave/browser-laptop,codecov,2017-08-11T22:55:38Z,xoxo codecov,neutral
Azure/azure-xplat-cli,mocha,2012-12-06T01:42:08Z,tests are failing with "cannot read property 'prototype' of undefined". seems like something is wrong with servicebusmanagement.the failure is described in the azure_error file:```wed dec 05 2012 17:39:37 gmt-0800 (pacific standard time):[typeerror: cannot read property 'prototype' of undefined]typeerror: cannot read property 'prototype' of undefined    at object.exports.inherits (util.js:538:43)    at object.<anonymous> (c:\temp\projects\azure-sdk-tools-xplat\lib\servicebusmanagement\servicebusmanagementservice.js:60:6)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.require (module.js:362:17)    at require (module.js:378:17)    at object.<anonymous> (c:\temp\projects\azure-sdk-tools-xplat\lib\servicebusmanagement\index.js:18:35)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.require (module.js:362:17)    at require (module.js:378:17)    at object.<anonymous> (c:\temp\projects\azure-sdk-tools-xplat\lib\commands\sb.js:19:28)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.require (module.js:362:17)    at require (module.js:378:17)    at c:\temp\projects\azure-sdk-tools-xplat\lib\cli.js:788:14    at array.map (native)    at scan (c:\temp\projects\azure-sdk-tools-xplat\lib\cli.js:787:23)    at harvestplugins (c:\temp\projects\azure-sdk-tools-xplat\lib\cli.js:800:17)    at object.<anonymous> (c:\temp\projects\azure-sdk-tools-xplat\lib\cli.js:918:1)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.require (module.js:362:17)    at require (module.js:378:17)    at object.<anonymous> (c:\temp\projects\azure-sdk-tools-xplat\test\cli.js:1:80)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.require (module.js:362:17)    at require (module.js:378:17)    at object.<anonymous> (c:\temp\projects\azure-sdk-tools-xplat\test\commands\cli.site-deploymentscript-tests.js:18:11)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.require (module.js:362:17)    at require (module.js:378:17)    at mocha.loadfiles (c:\users\amitap\appdata\roaming\npm\node_modules\mocha\lib\mocha.js:137:27)    at array.foreach (native)    at mocha.loadfiles (c:\users\amitap\appdata\roaming\npm\node_modules\mocha\lib\mocha.js:134:14)    at mocha.run (c:\users\amitap\appdata\roaming\npm\node_modules\mocha\lib\mocha.js:290:31)    at object.<anonymous> (c:\users\amitap\appdata\roaming\npm\node_modules\mocha\bin\_mocha:329:7)    at module._compile (module.js:449:26)    at object.module._extensions..js (module.js:467:10)    at module.load (module.js:356:32)    at function.module._load (module.js:312:12)    at module.runmain (module.js:492:10)    at process.startup.processnexttick.process._tickcallback (node.js:244:9)```,negative
Azure/azure-xplat-cli,mocha,2012-12-06T17:03:33Z,so how do i run tests (now during development)?,neutral
Azure/azure-xplat-cli,mocha,2012-12-06T19:53:33Z,clone the azure-sdk-for-node repo and check out the dev branch. put it next to your clone of the tools-xplat repo. then. from your sdk-tools-xplat directory. do:    npm install ../azure-sdk-for-nodethis will grab the azure bits from that other directory.,neutral
workshopper/how-to-npm,standard,2016-08-20T23:42:22Z,fixed standard formatting. there is a trivial error in the current formatting (what about enabling travis?),negative
dadi/api,standard,2016-04-29T03:22:18Z,josephdenne more info required please. - publishstate: ok- publishdate: ok- publishenddate: ok- publisher: what is this? is it a string supplied by the publishing system? or an editor identifier?,neutral
dadi/api,standard,2016-04-30T08:52:15Z,jimlambie confirming that publisher means editor,neutral
appnexus/lucid,karma,2016-03-29T14:32:56Z,setup browserstack. acceptance testing. - [x] configure karma- [x] run karma tests across browsers in browserstack- [x] setup a "kitchen sink" docs page for screenshot testing- [ ] run screenshots in browserstack,positive
websockets/ws,eslint,2016-06-12T15:00:04Z,add eslint as lint tool,neutral
websockets/ws,eslint,2016-06-12T17:27:06Z,thanks for your contribution. but i'm pretty sure none of the files will validate lol :%,positive
websockets/ws,eslint,2016-06-13T02:11:09Z,i will add some rules and refine code later.,neutral
websockets/ws,eslint,2016-06-13T03:46:58Z,refine code via eslint,neutral
agershun/alasql,mocha,2015-04-18T18:36:05Z,im working on implementing mocha so that its a more standard format.,neutral
agershun/alasql,mocha,2015-04-21T21:02:43Z,updated the memory info with more readable data. updated the parser. please pull and `npm install`if you run node with the `--expose-gc` flag garbage collection will be invoked between each test file runs. ```node --expose-gc run > results.log ```next step: let mocha do the output job,negative
quilljs/quill,selenium,2015-01-13T10:05:39Z,definitely a good idea to use modern apis though the there is the tradeoff is a messier codebase where features are implemented multiple times. depending on the benefits though it might be worthwhile.the way to test paste would have to be selenium i think since an important part is actually interacting a real paste event object. i have an end to end test set up with protractor in the tests/ folder that might be a useful starting point. another challenge with paste though is it's useful to know copy/paste behavior between applications so perhaps this an area where some manual testing will always be necessary.,positive
cliftonc/calipso,mocha,2012-08-23T19:15:51Z,trying to run 'sanity test' using mocha per reference in package.js:```node_env=mocha mocha --reporter spec -t 5000 -s 500```it returns:```calipso.logging.configurelogging(loggingconfig);                ^typeerror: object #<object> has no method 'configurelogging'```,neutral
electrode-io/electrode,karma,2017-06-20T00:35:01Z,sorry. i will have to look into this later.,negative
electrode-io/electrode,karma,2017-06-20T07:38:23Z,archetype-react-app: [major] default to chrome headless for karma,neutral
electrode-io/electrode,karma,2017-06-24T05:24:29Z,in general. you unit test code in client with karma test only.  server side code should be tested as pure server side code.to test client code as part of server. a new type of tests would be needed. something like `test-ssr` maybe.close for now and will revisit if i have time.,positive
electrode-io/electrode,karma,2017-07-10T15:50:12Z,hi. just looking this a bit.  webpack config's entry points to the app's main js file. usually `src/client/app.jsx`.  also. it's not necessary a plain string.  it could be an object with multiple entry for webpack.  karma's entry has to point to its own `entry.js`. which does bootstrapping to get the react app loaded into karma.  i am not sure how this pr is supposed to work actually.,neutral
helmetjs/helmet,standard,2015-07-12T02:12:04Z,+1 markherhold . ideally helmet should abstract/decouple its core away from any framework implentation. also koa is probably going to take over in a year or less because of standards and esnext,neutral
angular/angular-cli,uglify,2017-04-26T02:44:41Z,any word on this one? other issues around the internets seem to point to uglifyjs causing issues. since angular-cli doesn't let you modify the webpack.config directly. i can't figure out a way to tell uglify not to touch mapbox.,neutral
lovell/sharp,standard,2016-07-21T20:30:10Z,in bluebird. `promisify` has a `multiargs` option. which returns multiple arguments to a callback in an array. maybe this is the standard to follow.,neutral
lovell/sharp,mocha,2014-06-04T16:04:33Z,sounds good to me! would also be nice if you used a test framework like mocha so you could have pretty outputs,positive
facebook/react-devtools,eslint,2015-04-02T22:32:45Z,add plugin to monitor the updates of react components . add plugin (codename: bananaslug) to monitor the updates of react componentsthe plugin renders a checkbox inside the current react panel. clicking the checkbox would toggle the the plugin.most plugin codes lives inside `plugins/bananaslug/` and they're built with separate modern stacks (webpack. eslint. babel...etc) to ensure better developer experiences.,neutral
facebook/react-devtools,eslint,2015-04-06T19:23:57Z,ping :),neutral
facebook/react-devtools,eslint,2015-04-17T22:53:07Z,ping~,neutral
photonstorm/phaser,jshint,2013-11-23T15:47:51Z,:+1: i'm in favor of this as well. i've been doing a bit of manual clean up but i'm not sure if the changes i'm making are in the desired format.,negative
photonstorm/phaser,jshint,2013-11-24T12:52:41Z,ok i've tweaked the configuration in the jshint file and re-pushed it. also have started going through the source applying my own rules :),neutral
npm/npm,standard,2015-01-15T15:00:35Z,dedupe: decrease the log level of unavoidable conflicts. users running `npm dedupe` do not need to be informed about unavoidable conflicts. they are a part of regular process of dedupe. and are nothing of note.in my personal opinion. this also aligns with semantic meaning. i was unable to find a detailed standard of log levels. thus i converged on an opinion that warnings require eventual attention. while infos are documenting regular behavior.feel free to reject this if your log level definition differs.consider that with #6912 the warnings will pop up for regular users during a simple install command.,negative
npm/npm,standard,2015-01-16T04:17:38Z,imo. conflicts deserve to be warnings. this helps people understand why parts of their trees have not been deduplicated. and is information that is useful to surface. so as to minimize people's surprise (and their likelihood to file issues based on that surprise). also. "imo" pretty much sums up the guidelines for when which log level is used -- it's kinda up to the developers' discretion which log level gets used where. and is likely to remain that way. just because this is mostly about creating a friendly (if occasionally noisy) user experience.thanks for putting this together anyway!,positive
npm/npm,standard,2015-01-16T07:14:17Z,thank you for your feedback and reasoning!,positive
npm/npm,standard,2015-01-31T22:41:46Z,i will take a look at my git config. but it's pretty standard. could this be some weird locale thing?,positive
npm/npm,standard,2015-02-01T04:37:28Z,i'm struggling to find a better/canonical way for publishing generators to npm. but it seems like the standard approach is to just apply workarounds when necessary.guess i'll just stay with the "it works" approach until there's a better approach.,negative
npm/npm,standard,2015-02-01T15:46:37Z,terinjokes yeah. there's a bunch of tools out there. `standard` disallows semicolons though. and cuts having to maintain a bunch of config files in the repo root.,neutral
npm/npm,standard,2015-02-01T21:15:10Z,feross as much as said he did it for the lols. and while there are points of congruency between the `standard` code style and npm's. one of the goals for this task is to make the code base more consistent while. as much as is practicable. codifying the pre-existing style. among other things. i have to do a fair amount of `git blame` and `git log -s` on the npm code base. and so i don't want to do anything that's going to complicate that process more than necessary.and there are plenty of uh idiosyncratic aspects of the code base's style. so it's a thin line to walk.,negative
