pubnub/chat-engine,codacy,2018-01-03T22:24:08Z,put these into travis secretsgit config --global user.email "github-ops-codacypubnub.com"git config --global user.name "pubnub bot",neutral
webpack/webpack,uglify,2018-05-19T07:40:41Z,my guess was wrong. it's not caused by the worker pool in the uglifyjs-plugin...,negative
webpack/webpack,uglify,2018-05-19T07:49:58Z,i’ve also observed timeout failures on stat test cases but they seem to be gone the day uglify was disabled.,neutral
webpack/webpack,uglify,2018-05-21T16:49:05Z,kzc i found that if i build blacksonic's example with webpack 4 using awesome-typescript-loader and `plugins: [new uglifyjsplugin({ uglifyoptions: { compress: { passes: 3 } } })]`. unused classes can be tree-shaked.is this an expected behavior?if yes. does this mean one does not need to use a string-replace plugin to tree-shake unused classes from typescript code as mhegazy noted if they specify `{ compress: { passes: 3 } }`?,neutral
webpack/webpack,uglify,2018-05-22T15:19:43Z,> it is likely that uglify-js can drop unused side-effect-free class iifes even if they are not annotated with `/*__pure__*/`.i was mistaken. it only worked in trivial cases. you still need to replace the comment text.,negative
webpack/webpack,uglify,2018-05-25T17:23:19Z,txiaocao installing uglifyjs-webpack-plugin from npm worked for me. it seems that the docs are wrong about the supposed existence of `webpack.optimize.uglifyjsplugin`.my config:`const uglifyplugin = require("uglifyjs-webpack-plugin");`...`plugins: [    new uglifyplugin({      uglifyoptions: {        output: {          comments: false        }      }    })  ].`,negative
stealjs/steal,sauce,2017-03-22T17:05:53Z,make it so that saucelabs runs all of the individual test pages. we have tests spread out over multiple entry-point test pages. currently saucelabs only runs test/test.html. which means some tests (such as the npm tests) are omitted from running in ci.,neutral
stealjs/steal,sauce,2017-03-27T20:50:34Z,closed by #1128,neutral
stealjs/steal,sauce,2017-04-12T21:32:43Z,use test-saucelabs package,neutral
stealjs/steal,sauce,2017-04-12T23:08:21Z,:d,neutral
clappr/clappr,karma,2014-12-22T02:53:13Z,hi rheber. i needed to expose events on karma configuration (d9626a9b0b8cbdd5b665c85ac46e90147b87675a) in order to fix the tests. anyway. thank you for the pull request!,positive
acuminous/yadda,mocha,2015-10-25T17:34:55Z,thanks. xeladotbe. that fixes the issue. i am surprised that calling the same mocha function from different locations changes its behavior. does mocha understand the context in which the function is being called?,neutral
sidorares/node-mysql2,eslint,2016-08-18T23:35:05Z,chalker did you use some custom script or eslint to log this? i'd like to add test rule so that it's not accidentally introduced in the future,negative
sidorares/node-mysql2,eslint,2016-08-18T23:36:09Z,sidorares no. i don't have an eslint rule for that. sorry. and am not aware of any. it would be super-awesome if you would find one. though =).,positive
prebid/Prebid.js,standard,2018-03-06T21:22:46Z,this issue has been automatically marked as stale because it has not had recent activity. it will be closed if no further activity occurs. thank you for your contributions.,positive
prebid/Prebid.js,standard,2018-03-08T02:13:23Z,code looks good.  i'm a bit puzzled by the build failure for standard/object-curly-even-spacing since when i run lint locally on the pr. it passses,negative
prebid/Prebid.js,standard,2018-03-16T16:09:13Z,hi jsnellbaker. thanks for taking the time to look over the code. we appreciate it. all your suggestions are very sensible. and i agree it is good to bring this code up-to-date with regards to es6 standards. i certainly prefer it myself.i have pushed the fixes and changes so let me know if all is as expected.,positive
prebid/Prebid.js,standard,2018-03-20T22:27:15Z,well in the standard banner workflow when we set keys we mark the bids as used but that doesn't work great for video because we don't get a callback letting us know the bid won.i like the idea of a clearing api though. open to a pr for that.,positive
CenterForOpenScience/ember-osf,coveralls,2017-06-15T14:25:34Z,brianjgeiger merge conflicts are gone. tests passing. coveralls a little unhappy about skipping test,negative
clarkie/dynogels,eslint,2016-09-30T09:01:28Z,i'm a little confused why you'd need to call `createtables` if you know the tables exist. i have an application config setting that allows us to trigger table creation based off a flag or environment variable:```function maybecreatetables(config. callback) {  if (config.createtables) {    console.log('creating tables...'); // eslint-disable-line    return dynogels.createtables(callback);  }  return callback();}```if i've misunderstood the question then please let me know. thanks,negative
babel/babylon,codecov,2016-10-15T16:04:43Z,count babel tests towards babylon code coverage. as we're already running babel's tests in ci to detect any integration issues early. we can also use them to meaningfully bump up babylon's test coverage. by doing this with an instrumented build of babylon and using codecov's automatic report merging feature.in practice this currently helps us cover things like `do` expressions and the `::` operator which are conspicuously uncovered in the current `master`. obviously for new features the ideal still is to add covering tests from the get-go.(also. file this under "workarounds we can retire if babylon is ever merged back into the babel monorepo" ),neutral
babel/babylon,eslint,2017-01-24T13:24:47Z,danez > it maybe even easier to adjust the typescript parser to have an option to output babel-compatible astso `ts + typescript-eslint-parser` is already a way to effectively take typescript source code and produce an estree ast.if i understand correctly. the work currently being done on babel + estree is around babel _outputting_ estree. but if it were possible to for babel to also consume estree as an option. then we potentially have a lot of the moving parts already...i don't yet know enough about babel to know how that relates to hzoo task list  in the description above,neutral
babel/babylon,eslint,2017-01-24T13:30:13Z,jameshenry nearly.the work that is currently done is to have an option (or plugin) that enables babylon (the parser of babel) to output estree. this is so that other tools like eslint. react-docgen. basically everything that consumes estree asts to be able to drop in babylon and be able to support every spec that babylon supports.afaik there are no plans to use the estree mode within babel. as the changes that were made to the estree format are all valuable additions/changes and make it way easier to write plugins in babel. it would be nice to contribute them back to estree. but they don't allow/want any breaking change.,neutral
babel/babylon,eslint,2017-01-24T13:31:42Z,danez the intention of the issue/discussion earlier was that i thought we could possibly have a `ts` plugin like with flow/jsx? and that the babel team wouldn't be the ones maintaining/creating it. but it would be like flow in that the flow team can make prs etc.and yes jameshenry already has done separate work via `typescript-eslint-parser` which uses the ts parser -> estree. this issue was about getting babylon itself to parse ts but maybe that's unnecessary?>  and instead focus more on making it more easy to extend.not sure what we can do there yet?,neutral
react-materialize/react-materialize,karma,2016-03-04T01:52:47Z,i pushed my commits.if i do not change the `karma.conf.js` file. when i run `npm test`. it will throw:``` shellreferenceerror: can't find variable: $```or``` shelltypeerror: 'undefined' is not a function (evaluating '$(this.refs.__select__).material_select()')```,negative
pouchdb/pouchdb,eslint,2016-05-23T20:49:09Z,not sure if moving 'my' submodules of express-pouchdb is a good idea. as they have separate test suites. more chances of travis breaking down accidentally (e.g. due to upstream bugs in mocha/eslint/babel etc.). and its runtime would increase too (although only marginally).but anyway. we can figure that out later. the order nolanlawson names sounds like a good start.,negative
pouchdb/pouchdb,eslint,2016-06-01T09:33:45Z,so the tests failed with a minor eslint. i pointed it out in the comments. i had a few small comments about the code style but otherwise its looking great. hopefully get a green run with that semi colon and i think it will be good to land,positive
pouchdb/pouchdb,uglify,2014-08-16T04:47:05Z,rebased,neutral
pouchdb/pouchdb,uglify,2014-08-17T17:48:04Z,nah sorry missed the issue. yeh im leaning towards -1 on this. i know it doesnt have a huge downside. but theres a cost both in download and more complexity with each additional dependency and i would rather be getting rid of them. especially for the sake of 500bytes. we can report the size differences to the original projects and hopefully end up with the benefit and no extra depscalvinmetcalf wanna cast the vote?,negative
pouchdb/pouchdb,uglify,2014-08-17T18:19:19Z,fair enough. pouchdb has gotten a little big around the waistline. though. we should try to find ways to slim it down.,neutral
pouchdb/pouchdb,mocha,2014-06-12T20:45:14Z,unfortunately it looks like this won't work. because mocha is not equipped to run in node-webkit.  it assumes it's in node (or something). which results in:```uncaught node.js error rangeerror: maximum call stack size exceeded    at window.require (eval at undefined. <anonymous>:1:26)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)    at window.require (eval at undefined. <anonymous>:1:112)```plus ```uncaught referenceerror: require is not defined```,negative
pouchdb/pouchdb,selenium,2014-04-06T17:53:19Z,this is a script that needs to run locally. and not just a browser one (we dont only test in the browser). i expect its mostly something that just checkout out a repo. does a build and runs a test incrementally```./bin/backfill-performance.sh git-sha```just giving a heads up in case you go for a different architecture. at the least it shouldnt be limited to the browser. and it should run a clean profile in the browser each time (which we get for free with using selenium tests),neutral
pouchdb/pouchdb,jshint,2014-03-18T11:07:46Z,ok. installed linux. fixed a jshint issue. now all tests seem to pass.,neutral
pouchdb/pouchdb,jshint,2014-03-18T20:43:18Z,just in case you didn't know. you can also put it in your global .gitignore.  i've done that myself; i found it's also a good habit since it forces me to put project config elsewhere (e.g. jshintrc).,positive
pouchdb/pouchdb,jshint,2014-03-18T23:02:10Z,yo. minor jshint fix needed here. but yay less code,positive
pouchdb/pouchdb,jshint,2014-03-18T23:31:47Z,so jshint checks indentation based on the line before it. the real error is that the previous line should be at 3 not 5,negative
pouchdb/pouchdb,jshint,2014-03-18T23:45:48Z,yup. daleharvey . you are right. i'm not testing it right. it took two different issues to screw me up here.#1 - the jshint website doesn't check for indenting errors#2 - when i switched branches locally in git it turned out that it was still applying changes that weren't in master. once i ran reset it was all good and i got the same error.thank you! by running the test yourself you proved i had screwed up which made finding the problem much easier.,negative
pouchdb/pouchdb,jshint,2014-04-04T03:08:13Z,results are in the browser. cleaned up a bit about the location of the files. added jshinting,neutral
pouchdb/pouchdb,jshint,2014-04-07T17:35:48Z,you should be able to put in jshint exceptions. like `/* jshint maxlen: false /*` in a comment above them,neutral
pouchdb/pouchdb,jshint,2014-04-07T17:53:56Z,ok. added the comment to just those lines. and added in the maxlen: 80 option into the .jshintrc file.,neutral
pouchdb/pouchdb,jshint,2014-04-14T00:49:57Z,d'oh. forgot to jshint. should be green now.,neutral
vlucas/frisby,jasmine,2014-05-01T19:01:58Z,if you make this work. i will certainly link to it from the frisby website - in my view. it's just another test runner as an alternative to `jasmine-node`.,neutral
angular/protractor,jasmine,2016-06-18T07:25:01Z,"restartbrowserbetweeneachtest: true" with jasmine 2 restart browser extra one more time . when i am using "restartbrowserbetweeneachtest: true" in conf with jasmine 2. having two "it" in spec then it restart the browser 3 times but i want 2 time only as their are 2 "it". how to resolve that problem.??,positive
angular/protractor,jasmine,2016-06-21T18:38:04Z,hi all. we are using jasmine-reporters for generating both html as well as xml reports. however we have written a custom dot net console application to take the xml reports generated and write it back to microsoft test manager. if i try to invoke a console application within the it block of a spec file it invokes fine. however when we try to invoke the console application from oncomplete event(as xml reports would be generated by now) in conf.js it is not invoking at all. kindly advise.,neutral
angular/protractor,jasmine,2016-07-11T07:06:19Z,shankscriptthat's great. thanks a lot.and i think addjasminenodeopts: {defaulttimeoutinterval: 60000}.  is neccessary too.,positive
angular/protractor,jasmine,2016-07-14T17:15:05Z,can we make the wait plugin easily available/default in some way? assigning sjelin since you've got background here.,neutral
angular/protractor,selenium,2015-06-22T10:24:55Z,when i run webdriver-manager start. after an update which processes successfully. i get this error:c:\users\developer>webdriver-manager startseleniumprocess.pid: undefinedevents.js:85      throw er; // unhandled 'error' event            ^error: spawn cmd enoent    at exports._errnoexception (util.js:746:11)    at process.childprocess._handle.onexit (child_process.js:1053:32)    at child_process.js:1144:20    at process._tickcallback (node.js:355:11)    at function.module.runmain (module.js:503:11)    at startup (node.js:129:16)    at node.js:814:3,negative
angular/protractor,selenium,2015-06-26T22:52:50Z,reported reduced case here: seleniumhq/selenium#715,neutral
angular/protractor,selenium,2015-06-29T17:56:01Z,definitely looks like a selenium or angular bug to me,negative
angular/protractor,selenium,2015-06-29T19:45:24Z,nope. it never makes it past the first getcurrenturl.in the console i am getting an error. maybe that will help```c:\projects\si\presentations\site\node_modules\protractor\node_modules\selenium-webdriver\lib\webdriver\promise.js:1877      var result = fn();                   ^typeerror: undefined is not a function```,negative
angular/protractor,selenium,2015-06-30T14:45:26Z,it does not hang. it just fails the test "navigates - fail" and gives me an error like before```c:\projects\salesindicator\presentations\site\node_modules\protractor\node_modules\selenium-webdriver\lib\webdriver\promise.js:1877      var result = fn();```that being said. i played around with it some more and it looks like it is not waiting for angular to finish before failing the tests. in the console i will see a bunch of failures. but in the browser the pages are way behind and still loading.did something change in v2 that would cause protractor to not wait until angular has loaded?,negative
angular/protractor,selenium,2015-06-30T17:15:17Z,the stack trace probably won't be very useful since there isn't actually a file which is running. the errors would just be from protractor/selenium-webdriver modules. would those be useful to you? could you describe a situation and what you would like to see?,neutral
angular/protractor,selenium,2015-07-05T21:04:59Z,hi there. i ran into the same issue. how about adding something like elementnottobecovered? that way the functionality would be easily available without creating inconsistencies :-),positive
angular/protractor,selenium,2015-07-07T18:46:35Z,hankduan thoughts on dbartholomae's suggestion?,neutral
angular/protractor,selenium,2015-07-07T22:13:12Z,maheswaranunni  and conceptdeluxe thank you so much for this. solved my problem in 2 minutes.,positive
angular/protractor,selenium,2015-07-10T05:10:58Z,jimmynavio  good going :) :+1:,positive
angular/protractor,sauce,2014-05-06T15:24:08Z,added line to print out webdriver session id. added line to print out webdriver session id for sauce connect to use. this lets bamboo or jenkins show test results in their own page avoiding the need of logging into sauce lab to view the results.,neutral
angular/protractor,sauce,2014-05-07T20:37:14Z,test(travis): added travis_retry for testonsauce.sh. `travis_retry` checks the return code of a command. in this case **testonsauce.sh**. retrying up to 3 times if the return code is non-zero.this will help avoid false positives errored builds due to unrelated timing issues with sauce labs.,positive
appium/appium-uiautomator2-driver,mocha,2017-10-12T00:25:20Z,refactor to use admc/wd and testobject tests. * refactored all the tests to use admc/wd so that we can use remote appium servers (specifically testobject)* run a mocha script before tests that. when testobject_tests variable is set. overrides 'wd' and points the server to testobject servers to run remotely* added several endpoints to no_proxy that should have been there* added an appveyor.yml for future testobject ci (want to do it on appveyor instead of travis because it will lighten the travis load and we don't need a linux or mac box. windows is fine),positive
cozy/cozy-ui,standard,2017-07-04T07:30:40Z,i added two little fixes:- update `standard` (js linter) script in `package.json` ;- lint javascript filesare we cool?,positive
ripple/ripple-lib,eslint,2015-06-12T16:28:39Z,remove iou_suffix from orderbookutils.js and clean up serializedtypes.js. - remove iou_suffix from orderbookutils.js- change serialize function in serializedtypes.js (line 412) to accept values as well as amounts- clean up serializedtypes.js so it follows eslint rules,neutral
ripple/ripple-lib,eslint,2015-06-23T17:07:13Z,this is still "work in progress". maybe we should close this pull request until it's ready?,neutral
ripple/ripple-lib,eslint,2015-06-25T17:23:56Z,decouple the amount class from math performed on values. - remove iou_suffix from orderbookutils.js by using the correct currency and counterparty when available - create new values class that performs math without using the amount class - change serialize function in serializedtypes.js to accept values as well as amounts- clean up serializedtypes.js so it follows eslint rules,positive
ripple/ripple-lib,eslint,2015-06-26T21:41:10Z,looks like eslint didn't run. i'm not sure what happened. do you know?,negative
ripple/ripple-lib,eslint,2015-07-02T10:45:28Z,update eslint,neutral
ripple/ripple-lib,eslint,2015-07-02T10:55:09Z,looks like eslint didn't run?,neutral
ripple/ripple-lib,eslint,2015-07-02T10:55:40Z,oh. guess there's nothing to run against. heh,negative
ripple/ripple-lib,eslint,2015-07-02T10:56:27Z,if we're mad keen we could ssh in i guess and run `npm run-script lint` :) ?  may as well just run it locally,positive
ripple/ripple-lib,eslint,2015-07-02T10:56:37Z,ye,neutral
ripple/ripple-lib,eslint,2015-07-02T11:31:38Z,use parser: babel-eslint which supports facebook flow. fixes #395,neutral
ripple/ripple-lib,eslint,2015-07-02T11:50:46Z,clark800,neutral
ripple/ripple-lib,eslint,2015-07-02T17:13:41Z,madeline and i were planning on making this change too. lgtm,neutral
ripple/ripple-lib,eslint,2015-07-03T12:39:00Z,i don't think babel-eslint is quite working as intended,neutral
ripple/ripple-lib,eslint,2015-07-06T16:45:11Z,updated once again:- in the amount class. this._value now stores an iou or xrp value- in iou and xrp value. this._value is now private- out bn implementation is now hidden (i removed the exposed bn constants in the amount class),positive
ripple/ripple-lib,eslint,2015-07-06T17:15:08Z,the issue above is that babel-eslint doesn't understand flow's comment syntax. one way to address this is to inline the type annotations. though there is probably a better option.,neutral
ripple/ripple-lib,eslint,2015-07-07T16:49:45Z,integrated clark800 's comments to make value.js an abstract base class and other fixes. let me know how it looks!,neutral
ripple/ripple-lib,eslint,2015-07-08T00:22:52Z,updated once again,neutral
ripple/ripple-lib,eslint,2015-07-08T17:34:13Z,updated to include the newest round of comments,neutral
ripple/ripple-lib,eslint,2015-07-08T18:54:36Z,updated with the two small fixes,neutral
ripple/ripple-lib,eslint,2015-07-08T19:13:38Z,lgtm!!,neutral
erming/shout,eslint,2016-02-07T10:51:29Z,package.json: lint all .js files. this makes the linting process less prone to miss new (or evenexisting) files. ignoring specific file paths is delegated to the.eslintignore file in the root directory.i just noticed this. not sure why i had explicitly set files to lint to begin with..,neutral
erming/shout,eslint,2016-02-07T11:30:52Z,are there no new errors thrown up? because this will lint the libraries.,neutral
erming/shout,eslint,2016-02-07T11:32:56Z,> because this will lint the libraries.which libraries?,neutral
erming/shout,eslint,2016-02-07T18:51:47Z,williamboman /node_modules/*,neutral
erming/shout,eslint,2016-02-07T18:53:02Z,maxleiter eslint skips `node_modules` and `bower_components` by default. i don't even think you can override that. like. at all :p.,positive
erming/shout,eslint,2016-02-07T19:09:15Z,yeah. i means client/libsdidn't notice you had them ignored already. looks good then. it shouldn't change anything for now. i think. but it's a good change to make.,positive
erming/shout,eslint,2016-02-07T22:15:16Z,:+1: from me,neutral
tapjs/node-tap,coveralls,2015-08-20T15:46:12Z,bucaran coverage support was added when this issue was closed. there's even a section in the readme for it. including specific support for coveralls.io.,positive
benbria/coffee-coverage,mocha,2015-08-20T20:54:04Z,did you ever get this working. btw?,neutral
benbria/coffee-coverage,mocha,2015-08-20T21:14:08Z,nope. i've got it working with other projects. but not with this one :cry:,negative
balderdashy/sails,mocha,2013-09-20T21:47:41Z,i think the `mocha.opts` file under the `test` directory has been taking care of this.  looking back through previous pull requests. all the tests have been running on travis.,neutral
balderdashy/sails,mocha,2013-09-20T21:57:56Z,`mocha.opts` doesn't include a test pattern in master. travis does run them for development though. next time development is merged into master i expect it will bring the testing situation into parity across both branches.,neutral
skulpt/skulpt,jshint,2014-11-03T15:42:32Z,leszekswirski awesome to get the exec limit from the compiled code! the first part however i don't completely understand. :smile: do you use that to yield a process to the ui "thread"?you  left a vim swapfile in there you. and jshint nags about creating a function in a loop. i tried calling the settimeout with a var_args array like `settimeout(handleresponse. 0. [r.resume]);` but the closure compiler doesn't like that. and it also changes `this` and i don't know if that bad. the tests pass.,negative
skulpt/skulpt,jshint,2014-11-03T15:51:18Z,albertjan oops. thought i'd got rid of all the swap files (stupidly did a `git add .` at one point).scheduling resuming with `settimeout(.... 0)` essentially pushes the resuming onto the back of the ui event queue. and so allows other things in the queue (like ui events or other scheduled functions) to run first. it's basically a cooperative multithreading "do something else if you want to" operation.the jshint warning is stupid (since i return directly after creating the function). but i'll add a workaround.one issue with conditional codegen of the exec limit is that there is currently an interface for setting an exec limit in `sys`. which won't actually function if the exec limit wasn't previously defined. since setting the exec limit in python seems odd to me anyway. i don't think this is a big deal. and actually i'd be in favour of removing that functionality entirely. but i didn't want to make a backwards incompatible change like that here.,negative
css/csso,mocha,2014-01-11T15:07:38Z,sorry about that. we're in the process of getting new maintainer.hope it'll be much faster soon.,neutral
ModuleLoader/es-module-loader,mocha,2015-04-16T15:51:47Z,guybedford can we run the mocha tests in the browser?,neutral
twbs/bootstrap,sauce,2014-04-12T18:40:40Z,safari fluid layout bug means a column falls 1-2 pixel short of it's correct width.. this bug only appears in safari on os x as far as i can tell. chrome. firefox and ie 9/10 are ok. on this fluid layout  the right coloured columns. fall 1-2 pixels short of the full column width. resizing the browser width slowly shows that the pixel gap closed to full column width every now and again. there must be some sort of rounding on column width that is producing this effect.,negative
twbs/bootstrap,sauce,2014-04-13T05:38:54Z,thanks chris i hadn't seen that in the documentation. you help much appreciated.,positive
keystonejs/keystone,mocha,2014-08-21T09:43:22Z,unique fields aren't unique after list.model.collection.drop(). _this isn't a keystonejs' issue. it's just something about mongoose (or maybe mongodb) that you should be aware of._after a `list.model.collection.drop()` all data and indexes are gone and. for a short period of time. you can insert duplicated `unique: true` fields without any errors or warnings.i've discovered this running mocha tests. i dropped and redid the collections after every test and then uniqueness tests (trying to register/update users with an existing email. username) failed. _but_ only when they were in the middle of other tests. running alone they were fine.i was able to query a `find` with an unique field and i've receive two and three results. after some ~~mad~~ research i've found that the issue came from the `drop`. now i have replaced `list.model.collection.drop()` with `list.model.remove()`. more inefficient but safe in terms of model integrity.i haven't got the time to go really deep into it yet but i hope it helps someone._if it's a well known issue and i've forgot how to search on google properly. my apologies._,negative
keystonejs/keystone,mocha,2014-08-22T10:08:56Z,this sort of thing is really valuable. there are some other things i know of as well (jossmac found one earlier today with regards to mongodb indexes not being dropped)i think we should add a "tips & gotchas" section to the site that everyone can contribute to - will leave this open until then so we don't lose it.,positive
agershun/alasql,mocha,2016-01-09T08:38:46Z,please. use:``` js   if(typeof exports != 'object') {...}```instead of:``` js   if(window) {...}```try to run `mocha .` in node.js now :),neutral
agershun/alasql,mocha,2016-01-10T08:31:26Z,:+1: now if you run `mocha .` it opens the browser with empty page. how to eliminate this?,negative
yeoman/generator-karma,mocha,2013-06-18T11:47:13Z,updated to latest generator and mocha,neutral
yeoman/generator-karma,mocha,2013-06-20T00:40:27Z,is included in pr #25,neutral
yeoman/generator-karma,karma,2013-06-06T21:01:14Z,also occurs when i unlink generator-karma and do npm install -g generator-karma,neutral
yeoman/generator-karma,karma,2013-06-22T10:28:32Z,unable to register generator-karma/app/index.js (error: arguments to path.join must be strings),neutral
yeoman/generator-karma,karma,2013-06-24T23:11:49Z,update karma-e2e.conf with proxy and url root. add options (commented out) for adding in proxy and urlroot,neutral
yeoman/generator-karma,karma,2013-07-02T14:10:53Z,+1 for including this,neutral
jquery/jquery-migrate,coveralls,2016-05-17T01:05:54Z,coverage really didn't decrease. coveralls doesn't see the tests that happen in the iframe.,negative
ember-cli/ember-cli-mocha,mocha,2017-04-26T09:44:17Z,taheilo there are a few issues with your code examples above:- in the first snippet instead of returning a new `promise` instance you can just `return currentsession().authenticate(...).then(...)` without the need for the `resolve()` call. if the second assertion fails you would otherwise have a `promise` that is never resolved. but also never rejected because `reject()` is not called anywhere.- in the second snippet you're mixing the `done` callback. ember's async `andthen()` helpers and the `promise` returned from the `authenticate()` method. i'd suggest to remove the `done()` and `return` the `authenticate()` result from the `andthen()` function. then it should hopefully work.as this doesn't seem to be an issue with `ember-cli-mocha` itself i'm closing this issue for now.,negative
bitpay/bitcore,mocha,2014-08-06T13:29:52Z,code: ackmocha: 3157 passing (7s)browser: passes: 3129,neutral
bitpay/bitcore,mocha,2014-08-06T13:56:02Z,code: ack. i would add a test for a specific message and a specific key. asserting that the result is a specific signature.mocha: 3164 passing (5s)index.html: passes: 3136,neutral
bitpay/bitcore,mocha,2014-08-11T20:07:09Z,mocha: 3164 passing (5s)index.html: passes: 3136code review: ack.,neutral
bitpay/bitcore,mocha,2014-08-12T16:17:37Z,mocha: 3178 passing (5s)index.html: passes: 3150ack. good work!,positive
qunitjs/qunit,eslint,2017-01-06T01:15:56Z,there's nothing here breaking. fixing a bug or introducing a new feature. everything is just using some new language features. i like this pr and don't think it's needed. it will open a discussion for us to discuss a potential style guide.> do we need to do refactoring separately (like this pr) or should we let it happen over time? i tend to think letting it happen over time will tend towards it not happening at all.i'll solve this problem in a couple minutes.> is there an es6 style guide for jquery? if not. we should define eslint rules for things like let vs const as they come up.not that i am aware of. but i believe it's a nice opportunity for us to see if we want to define our own. defining our own specific eslint rules. even if it's the same - or almost - of the jquery rules. is inevitable.,positive
paritytech/parity,mocha,2017-02-11T00:13:43Z,just stumbled upon this same issue.  i have a bunch of contract tests using mocha which submit multiple transactions in rapid succession.  i have to force it to wait 2 seconds between each tx which is frustrating.i agree with checking for pending tx's and then seal again.,negative
resin-io/resin-sdk,karma,2017-08-10T19:35:58Z,i'm ok with the idea but indeed you need to keep resin-config-karma ignored as the very least,neutral
admc/wd,selenium,2014-09-15T03:19:17Z,fix/add package.json keywords for discoverability. might help others find this project quicker. for a long time i thought the only two options were selenium-webdriver and webdriverio.,neutral
admc/wd,sauce,2013-05-24T08:17:55Z,new sauce widget with browser matrix. showing what browsers were used to run a test with status,neutral
needim/noty,standard,2017-07-11T21:48:20Z,yeah. but it means another network request for very small file. maybe we can separate later if we have more themes.,neutral
angular/angular-cli,uglify,2017-12-30T16:38:20Z,filipesilva. please. add this possibility to specify uglify options,positive
cssinjs/jss,codecov,2016-09-02T08:44:02Z,setup codecov. current setup of codecov.io isn't working ...,neutral
onsip/SIP.js,eslint,2018-02-20T20:46:04Z,> i am uncomfortable with the `.gitattributes` change. i think it may cause adverse side effects particularly on the release branch with minified javascript. based on my reading. it appears the correct solution is to set the attributes locally in your dev environment.i assume you mean by setting `core.autocrlf` but that is a global git configuration flag. not a per-repository one.> in terms of the copy files. can you provide some evidence that this is a generally accepted approach?i cannot. i just looked around for other people experiencing the same problems with unix specific commands and environment variable interpolation and determined what their solution was.,negative
onsip/SIP.js,eslint,2018-02-20T20:53:52Z,> i am uncomfortable with the .gitattributes change. i think it may cause adverse side effects particularly on the release branch with minified javascript.if this is something that i can assist with testing. i am more than willing.,negative
onsip/SIP.js,eslint,2018-02-22T21:19:06Z,hi seanbright.while we appreciate the effort to make this work. we are not going to take this pr. you can clone the repo with `--config core.autocrlf=input` which will fix the crlf issue. additionally. you can compile sip.js using git bash on windows without adding further dev dependencies to our repo.we looked at other (bigger) projects on github to see what they were doing in regards to these things cross platform and they are not addressing it in this matter. as far as i can tell the recommended solutions are to clone with the config flag or change your core git config. as for the cp. the recommended solutions is to use git bash.,neutral
onsip/SIP.js,eslint,2018-02-22T21:30:38Z,hey egreenmachine.was there anything done on your side to see if the `.gitattributes` change would actually have any negative impact on your release process or are you just assuming that it would?> as for the cp. the recommended solutions is to use git bash.recommended by whom?,neutral
onsip/SIP.js,eslint,2018-02-22T21:47:24Z,we did not do any testing to see if the change would have a negative impact. my assumption currently is that there would be little to no impact. but it is not something that we need to do. the issue is really outside the scope of this project.it is a generally recommended approach for getting a unix like shell on pc. similar to the crlf issue. we believe that getting `cp` to work on a system is outside the scope of this project.,negative
onsip/SIP.js,eslint,2018-02-22T22:14:28Z,i tested the `--config core.autocrlf=input` flag on clone and that seemed to do the trick. the bug about using the `cp` command instead of a webpack plugin will just have to remain outstanding.> the issue is really outside the scope of this project.i am not sure that i consider build failures on non-unixy platforms "out of scope" for a project that assembles a handful of smaller text files into one larger text file - especially considering that every component of your build toolchain supports cross platform development. we'll just have to agree to disagree.,negative
aksonov/react-native-router-flux,eslint,2017-07-07T01:30:55Z,brunsy was closed to adjust the code to pass by eslint constraints.,neutral
mostjs/core,mocha,2017-05-05T12:02:16Z,feat(witharrayvalues): add witharrayvalues and ziparrayvalues. ### summarythis adds `witharrayvalues` and `ziparrayvalues` for mapping values from an array onto a stream.  in the case of `witharrayvalues`. for each event. the stream provides the time component. and the array provides the value component.  similarly for `ziparrayvalues`. except it accepts a function to compute the value component from the array value and incoming event value.### other changes- run flow on the whole test dir.  it will only check files with `flow` at the top. which for now. is only the new `witharrayvalues-test.js`.  but. i like the idea of using unit tests also to check types.  feedback welcome    - note that to do this. i had to give flow visibility into the top-level `node_modules` folder. since lerna is hoisting common dependencies (such as `mocha` and `briancavalier/assert`) to the top level.### todo:- [ ] deprecate `fromarray` and `fromiterable`,negative
mostjs/core,mocha,2017-05-06T13:09:03Z,i really like having the tests type checked :+1:,positive
RubenVerborgh/N3.js,eslint,2017-01-07T21:12:30Z,travis hates my lack of adherence to linting - but eslint hated my code :(,negative
RubenVerborgh/N3.js,eslint,2017-01-11T17:14:47Z,i was thinking particularly about how strict mode turns some errors that are normally silent (and therefore hard to chase down) into hard-errors. i'm pretty sure i lost an hour (or more) to exactly this when i was implementing the store api extension? can't fix that without a time-machine though! ;)i suspect part of the reason you've not seen the need is that you may be more familiar with javascript than i am - another reason is that you have your eslint settings quite strict. already catching a bunch of stuff that strict mode disallows.but i notice this change caused failed builds on travis and appveyor?,negative
