stipsan/uikit-react,eslint,2016-08-07T12:53:11Z,stricter eslint rules,neutral
prettier/prettier,eslint,2017-07-06T15:20:42Z,hi. i have not actively been watching prettier issues for a while (sorry about that) but i intend to slowly start reading them again. first off. kachkaev i highly recommend simply turning off the max-len rule when using prettier. the fact is that the print width is just a recommendation to prettier. and it it can't break something anymore it won't be able to make sure all the code fits within the width. the beauty is that when it doesn't. you don't have to worry about adding a `eslint-ignore` comment on every single place this happens. just turn it off and know that 99% of your code will fit. (think of long strings. and stuff like that that can't be broken up).i think consistency is still a subjective argument. you can provide examples of how it's inconsistent. but frankly we could show examples of how a lot of styles are inconsistent. the important part is how it's used in real code. and the reason why many people like to drop parens on single args is because short inline functions like `x => x.id` are *so* common that it's really nice to drop the parens. the amount of times that i have to go back and add args are few enough that i personally find it a big win.it could be that if you write heavily functional style code. you are dealing with the above inline functions a lot. so this is a big win for that style of code. but if you aren't doing heavy functional stuff. you may not see this win enough. this is the hard part about formatting.i'm not sure we should change the behavior. if you agree with me please upvote this comment. there may be an equal number of people on the other side (although they might not see this comment as much as others see the original issue...). we can evaluate if we should add an option. we should really make sure that we can't decide on a single style though. as said above. the current popular style guides are a strong evidence of the current styles that we need to consider. the airbnb guide enforces no parens on single args. and i know many companies prefer this. this is not a cut-and-dry decision. and we should delay adding options as long as we can (have you tried this style for more than 5 minutes?).,negative
prettier/prettier,eslint,2017-07-06T16:39:10Z,eslint.autofixonsave is a great option to autofix your code,positive
prettier/prettier,eslint,2017-07-06T18:09:04Z,we have parenthesis in our team's common eslint preset (`'arrow-parens': ['error'. 'always']`).  the reasons are similar to what tkirda  rattrayalex and iamstuartwilson have recently mentioned.tastes differ and that's ok. the today's js community has some more or less established formatting standards (mostly influenced by airbnb). but some people may still prefer to change `--tab-width`. `--use-tabs`. `--single-quote` and other options just because they want to. if doing so is fine for prettier. i don't see why `--arrow-parens` needs to be hardcoded forever as something special. what's the philosophy behind this distinction. given so many +1s on this issue? who will suffer if `--arrow-parens` option is added. but remains as is by default?,negative
prettier/prettier,eslint,2017-07-06T18:52:01Z,rattrayalex to me airbnb's suggestions sounds even more strangely inconsistent than what we do now. why does it matter if the body is a block or not? they're probably trying to appease both styles but i think it muddles it even more. i guess it's something to be considered though.kachkaev everyone will suffer in a year after we've added "just one more option" a thousand times. the existing options exist because most of them truly affect 50-100% of code and we are forced to cater to existing styles somewhat for adoption (idealy. we wouldn't have any options). this only affects a small amount of code relative to the whole file and if we start adding options for things of that scale we'll have all of eslint's formatting options.i'm not saying we should close this issue but there's a reason we don't take adding options lightly. if there's a way to decide on a single style. everybody wins in the long run. it's possible that adding args if braces exist is a compromise we can do.,negative
prettier/prettier,eslint,2017-07-08T18:14:21Z,the merging thing was not that important i think. there are not that much options :-)may be worth exploring eslint's glob config. even if typescript and eslint work pretty badly together (at least last time i tried something with both),positive
prettier/prettier,eslint,2017-07-09T09:23:50Z,just pushed another change. makes the overrides api almost identical to that of eslint.```yaml# .prettierrcprintwidth: 80overrides:- files:  - "*.test.js"  - "**/__tests__/*.js"  options:    printwidth: 120    trailingcomma: es5```i don't know that such fine-grained control is really required for prettier. but maybe it is better to have something flexible than breaking people if we go for something too simple and need to change it.,negative
prettier/prettier,eslint,2017-07-09T10:00:54Z,is it possible to format .*rc files with prettier?. like `.stylelintrc` `.eslintrc` etc.,positive
prettier/prettier,eslint,2017-07-09T12:12:50Z,json is supported. yes. ```bashprettier --write --parser json .eslintrc```yaml format is not supported.,neutral
prettier/prettier,eslint,2017-07-09T23:50:12Z,i think the issue here isn't that people can't cope with the change. it's the incompatibility with airbnb eslint.  i've gotten over style changes really fast 4 spaces to 2. semi colons. etc.  we adopted airbnb eslint over night over a year ago at work and we all just said we'll get over it.  and we did and it was fine.  no more worrying about the little things in pull requests.  we love prettier but having to use prettier eslint for one thing is somewhat annoying. mostly because the speed is so much slower.  it's a minor annoyance but we'll probably switch to just prettier and disable the rule on eslint side(along with some jsx formatting differences).even though selfishly i would like prettier to support the airbnb method. i would rather prettier stay closer to gofmt and have very little options.  also side note: who the heck uses no bracket spacing. tabs and 4 spaces?  need some usage statistics here.,positive
prettier/prettier,eslint,2017-07-10T11:34:25Z,something like this?``` "lint-staged": {    ".*rc": [      "prettier --write --parser json".      "git add"    ]  }```,positive
prettier/prettier,eslint,2017-07-11T07:55:26Z,you should write **strict** json. the error you have is missing quotes `"`.`ignoreatrules` -> `"ignoreatrules"`you should also replace single-quotes in the array and quote strings.and remove trailing commas.if you have. remove javascript comments.,neutral
prettier/prettier,eslint,2017-07-11T08:25:28Z,you mean `tslint.json`?i don't think we'll be supporting this. as we don't do the same for `.eslintrc`.,neutral
prettier/prettier,eslint,2017-07-11T12:32:27Z,configuration file (`.prettierrc`) format was recently merged (#2434).prettier will look for configuration files starting at the file being formatted. and looking up the tree.should we be doing the same thing for `.prettierignore`? maybe we can even re-use the configuration file for ignoring files. too:```json// .prettierrc{  "ignore": [    "*.min.js"  ]}```i know eslint has two files (`.eslintrc` and `.eslintignore`). but eslint config files can be much more complex than a `.prettierrc`. thoughts?,neutral
prettier/prettier,eslint,2017-07-11T12:45:23Z,azz we should support `.prettierignore` (and allow customize this value). why? in many project i have `.gitignore` where put all files which i want to ignore. i use `--ignore-path .gitignore` for `eslint`. `stylelint` and other linters. if we don't support customize `--ignore-path`. i will have to duplicate all ignored files in the `.prettierrc` and `.gitignore`. it will be extremely inconvenient (sometimes it is many many files).,negative
prettier/prettier,eslint,2017-07-12T06:55:35Z,why there is no continuation here? do how to fix the warning in `eslint`?,neutral
ArkEcosystem/ark-js,mocha,2017-09-01T09:55:56Z,nice!  +5,positive
NodeRedis/node_redis,mocha,2015-10-08T16:10:10Z,fix intermitent failures in windows ci tests. we are observing intermittent failures in our windows ci tests. it's likely that this demonstrates actual race conditions in the node_redis client:``` sh 1) the node_redis client using options: detect_buffers: true;  using javascript and ipv4 unref exits subprocess as soon as final command is processed:     error: unref subprocess timed out      at error (native)      at null._ontimeout (c:\projects\node-redis\test\node_redis.spec.js:423:37)  2) the node_redis client using options: detect_buffers: true;  using javascript and ipv4 socket_nodelay true fires client.on('ready'):     uncaught assertionerror: null === 0      at childprocess.<anonymous> (c:\projects\node-redis\test\node_redis.spec.js:428:32)      at maybeclose (child_process.js:1015:16)      at process.childprocess._handle.onexit (child_process.js:1087:5)`````` sh  1) publish/subscribe using options:  using javascript and ipv4 subscribe handles sub_unsub_msg_sub:     typeerror: cannot read property '0' of undefined      at context.module.exports.serverversionatleast (c:\projects\node-redis\test\helper.js:99:24)      at context.<anonymous> (c:\projects\node-redis\test\pubsub.spec.js:139:59)      at callfnasync (c:\projects\node-redis\node_modules\mocha\lib\runnable.js:306:8)      at test.runnable.run (c:\projects\node-redis\node_modules\mocha\lib\runnable.js:261:7)      at runner.runtest (c:\projects\node-redis\node_modules\mocha\lib\runner.js:421:10)      at c:\projects\node-redis\node_modules\mocha\lib\runner.js:528:12      at next (c:\projects\node-redis\node_modules\mocha\lib\runner.js:341:14)      at c:\projects\node-redis\node_modules\mocha\lib\runner.js:351:7      at next (c:\projects\node-redis\node_modules\mocha\lib\runner.js:283:14)      at immediate._onimmediate (c:\projects\node-redis\node_modules\mocha\lib\runner.js:319:5)`````` sh  1) the node_redis client using options:  using javascript and ipv4 when connected when redis closes unexpectedly monitor monitors commands on all other redis clients:     error: redis connection gone from close event.      at redisclient.connection_gone (c:\projects\node-redis\index.js:9:25044)      at socket.<anonymous> (c:\projects\node-redis\index.js:9:5432)      at tcp.close (net.js:485:12)`````` sh1) the node_redis client using options: detect_buffers: true;  using javascript and ipv4 when connected when redis closes unexpectedly monitor monitors commands on all other redis clients:     error: redis connection gone from close event.      at redisclient.connection_gone (c:\projects\node-redis\index.js:9:25044)      at socket.<anonymous> (c:\projects\node-redis\index.js:9:5432)      at tcp._onclose (net.js:469:12)```we should put some time into squashing these bugs. since they are likely demonstrating real issues with the client that appear more easily in a windows environment.cc: brycebaril bridgear mranney erinspice blainsmith,negative
sequelize/sequelize,jasmine,2013-05-02T11:32:28Z,i removed an extra semi-colon that was added in my previous commit. i don't have postgres installed so i cannot run the jasmine-spec. however the test-buster-mysql is passing (and always did). hope it works now. :),positive
sequelize/sequelize,jasmine,2013-05-02T18:05:27Z,looks good. we'll have a further look at it latercould you add this line to package.json`"test-buster-mariadb": "dialect=mariadb buster-test".`and add mariadb as a dialect in each test file in spec-jasmine (not very dry. i know. sorry). that way the tests will actually be run for your new dialect :)_edit_ - you should also add the following to env in .travis.yml`- db=mysql dialect=mariadb`,positive
sequelize/sequelize,jasmine,2013-05-08T04:36:57Z,i'm trying to get rid of my travis build errors but seem to just be making more of a mess in my local copy and getting lots of errors when i try to test locally. can someone help me out with this?  i've been making changes both in spec and spec-jasmine.,negative
sequelize/sequelize,eslint,2017-05-15T14:41:35Z,add arrow-parens rule to eslint. this comes up a lot in prs. arrow functions with a single argument do not need to specify the parenthesis. so they shouldn't. example:```js[1. 2. 3].map(x => x * 2)// looks a lot cleaner than[1. 2. 3].map((x) => x * 2)```just like you wouldn't for example wrap every assignment expression in an extra set of parenthesis:```tsconst x = (y + 1);```you shouldn't do it for arrow functions if it's not needed.just added the rule and ran `eslint --fix`,positive
sequelize/sequelize,eslint,2017-05-16T06:43:24Z,:+1:,neutral
swagger-api/swagger-ui,jshint,2015-04-29T09:33:49Z,add jshint to gulp..lint and dist. fixes #1221 not much too it. there is already a .jshintignore file. i thought of adding a .jshinrc but the weight of those pedantic details got to me.at least no more missing semi-colons breaking the travis build :dps: using same styler as swagger-js,neutral
assisrafael/angular-input-masks,karma,2015-04-07T21:34:10Z,merged in 1138f05d9feb0a801c16c0a09bc199a113d9fe96,neutral
patriksimek/node-mssql,standard,2017-05-30T16:58:44Z,document request timeout suggested defaults; take request timeout from connection string. hi - i'm using a standard "connection string" method and it's taken me a literal age to dig through the code to find that you can a) pass config variables by simply adding them to the connection string and b) that **requesttimeout** needs to be specified as **request timeout=60000;**can i suggest that the connection readme is updated to explain thismany thanks.paul,neutral
ariatemplates/hashspace,karma,2014-02-28T14:01:22Z,b-laporte i'm fine either way. we can make it mandatory. but if so we should fail with an explicit error message. can prepare a different pr. opened this one since karma pre-processor / grunt task were not passing this arg and it started to fail with a "cryptic" message. i'm somewhow fine with making it mandatory.,negative
caolan/async,eslint,2016-07-20T22:01:57Z,lgtm.  even if it doesn't affect performance. at least we can get rid of that eslint loopfunc exception.,neutral
plugCubed/plugAPI,eslint,2016-09-01T17:22:59Z,tried to fix your eslint problem(didnt work),neutral
nightwatchjs/nightwatch,jshint,2014-04-25T16:06:51Z,ah looks like jshint. i'll fix it up.,positive
nightwatchjs/nightwatch,jshint,2014-05-05T19:06:21Z,refactor utils logger. this _pr_ includes the follwing changes:- fix for some jshint issues. - fix for a typo in function-name- refactoring to reduce the number of function calls to get a _timestamp_,neutral
nightwatchjs/nightwatch,mocha,2015-10-12T03:58:13Z,essentially yes. just in the reporting behavior. i'm thinking of how i run tests with mocha or rspec. and plan out new behavior with pending tests.,neutral
nightwatchjs/nightwatch,mocha,2015-10-16T03:16:22Z,because of the security regulations. i have made a sample test suite to reproduce this issue.just executing test with mocha test runner. you can see it.``` javascriptdescribe('test suite'. function() {  before(function(client. done) {    console.log("before!!");    client        .url("". function(){          done();        });  });  after(function(client. done) {    console.log("after!!");    client.end(function() {      done();    });  });  beforeeach(function(client. done) {    done();  });  aftereach(function(client. done) {    done();  });  describe('testa'. function() {    it('uses bdd to run the google simple test'. function(client) {      client.setvalue('input[type=text]'. ['nightwatch'. client.keys.enter])          .pause(1000);      client.expect.element("must failed...!").to.be.present;    });  });  describe("testb". function(){    it('uses bdd to run the google simple test'. function(client) {      client.setvalue('input[type=text]'. ['nightwatch'. client.keys.enter])          .pause(1000);      client.expect.element("must failed...!").to.be.present;    });  });});```i found some hints related with this issue last night.when the following expect failed with mocha. the after hook was not executed. ``` javascript      client.expect.element("must failed...!").to.be.present;```so a browser window was reopened and the failed test suite was resumed. but before hook method was not executed.these flows are differ from default test runner's.,negative
nightwatchjs/nightwatch,mocha,2015-10-16T07:06:28Z,no. test_worker has nothing to do with this issue.whether enabled it or disabled it. the same thing happened.i may have found why this happend.when i turn on bail of mocha options. this issue did not happen.``` -b. --bail                              bail after first test failure```it seems that mocha's retry policy is differ from nightwatch's when test case is failed.,negative
nightwatchjs/nightwatch,mocha,2015-10-23T12:32:24Z,i managed to get this working by just using`"test_runner":"mocha"`instead of`"test_runner": {"type": "mocha"}`,neutral
nightwatchjs/nightwatch,mocha,2015-10-27T13:53:43Z,i am having the same problem. but i would like to use another reporter but when i add this to the config:```"test_runner" : {  "type" : "mocha".  "options" : {    "ui" : "tdd".    "reporter" : "nyan"  }}```this setting is taken from the docs (except for 'nyan'). but it doesn't work. only with:```"test_runner" : "mocha"```,negative
Dash-Industry-Forum/dash.js,jasmine,2015-03-02T05:58:47Z,looks good. thanks! just one last thing - i see that some of jasmine tests fail. in dev branch all of them pass. could you please take a look at them? i am going to merge this pr as soon as all the tests pass.,positive
nodebox/opentype.js,mocha,2015-07-29T19:39:33Z,another good thing about restructure is that it's got lots of mocha tests (a total of 234).,neutral
formly-js/angular-formly,eslint,2015-10-18T22:29:05Z,build(eslint): use eol=lf so eslint passes,neutral
formly-js/angular-formly,eslint,2015-10-30T17:58:53Z,npm err! tell the author that this fails on your system:npm err!     npm run eslint:test -s && npm run eslint:src -s,neutral
formly-js/angular-formly,eslint,2015-10-30T22:43:00Z,hi! thanks for working on this. what you have is great. the reason the build is failing is because your code doesn't pass our linting rules. could you please run `npm run eslint` and fix all the issues mentioned. then please amend your commit with this changes and force push (so the pr has only one commit). let me know if you need help with this. thanks again!,positive
formly-js/angular-formly,coveralls,2015-06-03T02:31:41Z,closing this in favor of a single issue,neutral
formly-js/angular-formly,coveralls,2015-06-03T18:55:13Z,i'm going to close this. code coverage is now supported. still working on coveralls integration (travis is having trouble) but you'll be pleased to hear that we're actually pretty well covered.,positive
desktop/dugite,mocha,2017-10-30T01:32:15Z,update a bunch of packages. we no longer need `os-tmpdir`. and aside from `mocha` everything else is just minor updates.,neutral
angular-fullstack/generator-angular-fullstack,mocha,2014-08-22T04:15:09Z,let me get some clarity: are we talking about test coverage for the generator? or. for a newly _generated_ project? i misspoke earlier and i apologize. `generator-angular-fullstack` uses mocha for its own testing.,neutral
angular-fullstack/generator-angular-fullstack,mocha,2014-08-22T05:38:26Z,i would like to unify them. i prefer mocha and chai for both front and backend. but i think we should support jasmine as well.,neutral
angular-fullstack/generator-angular-fullstack,mocha,2014-08-25T11:53:53Z,daftmonk i've got a branch based on `canary` + #482 that uses mocha + chai + sinon for server and client side tests. i've included promise support in the server tests and reduced their code due to removing callbacks and such... also i switched to using chai should assertions since they don't need globals(jshint) or a `var expect = require('chai').expect` in every test. let me know if thats a problem. one thing that i see is the test included in `generator-ng-component` would need to be updated if we were to keep those changes. in implementing a prompt based testing framework selection. we would need to be able to maintain the choice with `.yo-rc.json` i'm guessing? then ng-component would need to be able to support jasmine or chai style assertions? sorry. i've not had much experience with the inner workings of the sub-generators.,negative
angular-fullstack/generator-angular-fullstack,mocha,2014-08-26T20:12:37Z,hmm jshint is not liking the expressions in the mocha tests for the user model.  i needed to update some of the tests to be async.going to add``` javascript/*jshint expr: true*/```to the top of the file.,positive
angular-fullstack/generator-angular-fullstack,mocha,2014-08-27T23:19:42Z,kingcody i've got more experience with jasmine tbh. but i can give it a shot; no promises. but in any case thanks for your work on it! just a thought. maybe there could be a choice to use jasmine on its own. or. mocha + sinon + chai? i'm contemplating having to rip out all your good work in future projects ...lol,positive
angular-fullstack/generator-angular-fullstack,mocha,2014-08-29T15:13:35Z,refactor(server-tests): use sinon-chai and `mocha.conf.js`. changes:- add `mocha.conf.js` and use it as a `require` in `mochatest` task- switch `should.js` for `mocha-chai`- change server-side test assertions to user chai assertionsbreaking changes:- should.js is no longer included. chai assertions should be used instead.,neutral
angular-fullstack/generator-angular-fullstack,mocha,2014-09-04T07:34:26Z,also pentateu your build is failing because canary no longer uses `should.js` and instead uses chai assertions. if you look in `mocha.conf.js` you should see where `chai.should()` is initialize as well as defining expect. assert. and sinon as globals for the tests.you should be able to simply remove `var should = require('should');` from the tests to correct the issue.,neutral
angular-fullstack/generator-angular-fullstack,sauce,2015-09-17T03:48:42Z,i'm sure sauce labs will fail initially with too many concurrent tests...,negative
angular-fullstack/generator-angular-fullstack,karma,2014-08-20T08:54:35Z,testing frameworks. i'm relatively new to unit testing. but i've been working with the specs that come with the generator; trying to learn more and see if i can help with the test coverage. i've found that jasmine is a little heavy when setting up asynchronous tests. perhaps i haven't given it enough of a chance. mocha on the other hand seems to be a good bit easier when it comes to async. i setup mocha + chai + sinon for the server tests i was working on and really enjoyed the combo. kinda got me thinking: why not use mocha with karma instead? i installed `karma-mocha` and everything seems to work great. so i'm wondering if anyone could outline jasmine's advantages? or would it possibly be more advantageous to use mocha for server and client testing?,negative
angular-fullstack/generator-angular-fullstack,karma,2014-08-21T05:27:13Z,jakxz thanks so much for your answer! i can totally see the advantage of using the same framework for both server and client. as for mocha + chai. the server test are actually using mocha + should.js atm. would a switch to mocha + chai be possible? in my (inexperienced) opinion; chai would seem a better candidate since it provide `expect. should. assert`.also. on the point of a unified testing framework; karma currently uses jasmine. while the server test are written in mocha. should we look at unifying them or perhaps use a prompt in the future to allow users to choose?btw; thanks for suggesting istanbul. i'll definitely check it out.,positive
angular-fullstack/generator-angular-fullstack,karma,2014-08-22T04:58:56Z,i was referring to a newly _generated_ project when i spoke earlier. the client side test. ran by karma. use jasmine. the server side use mocha + should.js. so my question was. should we look at unifying those tests? potentially using mocha + chai for both server and client test on a generated project. sorry for the confusion.,negative
angular-fullstack/generator-angular-fullstack,karma,2014-08-22T06:04:18Z,daftmonk. by support would you mean a prompt? or merely making the test in a way that would allow for jasmine to be easily switched out?,neutral
angular-fullstack/generator-angular-fullstack,karma,2014-08-22T07:15:19Z,i was thinking a prompt.,neutral
angular-fullstack/generator-angular-fullstack,karma,2014-08-22T08:24:05Z,jakxz thanks again for your input on this.,positive
angular-fullstack/generator-angular-fullstack,karma,2014-08-23T05:05:48Z,in `karma.conf.js`. change `loglevel: config.log_info` to `loglevel: config.log_debug`. see if that gives you any more info.,neutral
angular-fullstack/generator-angular-fullstack,karma,2014-08-23T18:03:50Z,kingcody: that led me to the fix! i apparently didn't have a test defined in main.controller.spec.js. and the karma section needs at least one test.thanks much!,neutral
angular-fullstack/generator-angular-fullstack,karma,2014-08-25T18:18:07Z,nice job kingcody! :+1:,positive
angular-fullstack/generator-angular-fullstack,karma,2014-08-27T23:09:00Z,jakxz just wondering. since you seem to have experience with testing. if you might have time to checkout the work i've done on the tests i mention above. if not. it's all good :),positive
angular-fullstack/generator-angular-fullstack,karma,2014-08-28T00:59:32Z,> in implementing a prompt based testing framework selection. we would need to be able to maintain the choice with .yo-rc.json i'm guessing? then ng-component would need to be able to support jasmine or chai style assertions?that's my plan :smile:,positive
angular-fullstack/generator-angular-fullstack,karma,2014-08-28T01:21:16Z,jakxz would you be interested in helping with the jasmine test coverage?,positive
angular-fullstack/generator-angular-fullstack,karma,2014-09-08T21:26:12Z,kingcody i would definitely be interested. and will _try_ to make time for it somehow... but if others in the community can start making prs then i'd encourage that :smile:,positive
angular-fullstack/generator-angular-fullstack,karma,2014-09-08T22:40:43Z,sounds great jakxz. here are some of the things that i see need to be implemented:- [ ] port current server-side tests to jasmine alternatives- [ ] port current client-side tests to mocha alternatives- [ ] unify/refactor grunt tasks for client and server tests using jasmine or mocha- [ ] server-side test coverage using istanbul and jasmine- [x] server-side test coverage using istanbul and mocha- [ ] client-side test coverage using istanbul and jasmine or mocha- [ ] generator prompt for test selection- [ ] extend `ng-component` to generate jasmine or mocha tests based on `.yo-rc.json`do you think that it would be a good idea to open an issue to invite pr's and track updates to the list of things needed?,neutral
nodeca/argparse,jshint,2013-02-22T11:23:17Z,ah. that's not your fault. new jshint better search errors. and found those in other files. will fix them myself.,neutral
serverless/serverless-graphql,eslint,2017-10-12T13:51:11Z,add prettier and eslint. hey. thanks for this great example it is really helpfull  this pr close #88 - move eslint config at the root folder. so now the client and backend folder are linted- add a prettier config compatible with eslint- fix the lint for the client and backend folder- add a git hook that prettier the files before commit,positive
serverless/serverless-graphql,eslint,2017-10-12T14:29:42Z,pradel this is awesome !! i'll do one round of testing and then merge this pr ;)  looking forward to more contributions :),positive
serverless/serverless-graphql,eslint,2017-10-13T19:47:45Z,pradel can you please do functional testing of this pr? i tried to test this pr by running it on local and see some errors (attached screenshot in the pr). please let me know if i am missing anything. thankssid,negative
serverless/serverless-graphql,eslint,2017-10-13T21:29:27Z,pradel i am going to merge this pr and fix the bug in another pr.,negative
serverless/serverless-graphql,eslint,2017-10-16T13:31:51Z,really nice changes pradel,positive
gilbarbara/react-joyride,uglify,2017-11-09T01:54:57Z,hey.yeah. i can refactor the build process to transpile the individual files to `/lib` without uglifying and remove the source-map.thanks! :),positive
cure53/DOMPurify,karma,2015-10-25T13:54:44Z,...not for now - at least i've never come across that error. i'll look into it later. maybe updating karma helps and i'd check other builds if the error previously occurred.,negative
Starcounter-Jack/JSON-Patch,jasmine,2017-01-02T17:53:03Z,add es6 proxy support with tests. i also enhanced the css of jasmine tests. and tweaked a little of the js responsible for benchmarking ui.,neutral
wagenaartje/neataptic,mocha,2017-05-03T10:26:56Z,thanks! it's not what i thought the problem might be and i'm not familiar with mocha. so not sure i'll be able to add anything. but i'll do some mocha reading and have a look. i found this project from synaptic and looks like you've got some great stuff going on here.,negative
Hacker0x01/react-datepicker,eslint,2017-12-25T14:39:30Z,prettier isn't really a replacement for eslint.i think it makes sense to use prettier for code formatting while continuing to use eslint for linting. there is a tiny bit of overlap (eg: semicolon enforcement). so they would need to be configured to not contradict each other.i also generally prefer keeping the actual change in a separate commit from the automated reformatting if possible. it makes it much easier to rebase any unmerged commits.,neutral
webpack/webpack,standard,2016-11-11T05:43:54Z,levino i think webpack is not a standard that every package provider should look at. they just need to follow the npm standards. the standard is that the file can be a js or a json. and any module loader that loads packages should honour both.,neutral
webpack/webpack,uglify,2018-03-01T16:48:38Z,in my opinion uglify shouldn't remove these comments by default. removing license comments isn't that good.,negative
webpack/webpack,uglify,2018-03-01T16:55:25Z,maybe `uglify-js` was keeping `/*!` and `uglify-es` is not. we could set `comments` to preserve the old behavior.,neutral
webpack/webpack,uglify,2018-03-19T15:10:48Z,estaub i think better set this option in uglify plugin. not webpack. it is allow don't change webpack code when issue will be resolve,neutral
webpack/webpack,uglify,2018-03-19T15:11:10Z,webpack-bot move webpack-contrib/uglifyjs-webpack-plugin,neutral
webpack/webpack,uglify,2018-03-21T10:21:34Z,please can the note about not using `-p` be added to the readme? bootstrap frameworks and webpack example projects all over the net appear to use `-p`. the fact that using it in conjunction with `uglifyjs-webpack-plugin` will always cause an error would warrant a more public note about it. imo.,neutral
webpack/webpack,uglify,2018-03-22T10:09:21Z,bump uglifyjsplugin to remove tapable warning. <!-- thanks for submitting a pull request! please provide enough information so that others can review your pull request. -->**what kind of change does this pr introduce?**bugfix**did you add tests for your changes?**no**if relevant. link to documentation update:**n/a**summary**when running unit tests there is a deprecation notice.this pr bumps uglify plugin to remove this warning.**does this pr introduce a breaking change?**no,positive
webpack/webpack,uglify,2018-03-23T11:34:00Z,evilebottnawi the error can be re-produced without using uglify plugin. but have tried set it up with `keep_fnames. keep_classname. mangle: { reserved: ['nerror']}` as well. but name still mangled,neutral
webpack/webpack,uglify,2018-03-24T10:53:51Z,i had the same problem. i tried configuring the uglifyjsplugin plug-in. but it didn't work,negative
koopjs/koop-provider-agol,standard,2015-09-10T17:23:39Z,all tests passing after i laid down one more commit to appease the `standard` gods.  should i merge as is or do you want me to rebase it first?,neutral
stealjs/steal,sauce,2017-01-30T15:50:29Z,we should do (2). we don't need to run testee in travis b/c saucelabs already runs it in every browser (including firefox. which is what testee previously did).yes. json was added to the main test file. that's how the others should do it as well.,neutral
stealjs/steal,sauce,2017-01-31T22:33:34Z,refactor tests. refactor tests and enable them all on `test.js` so that saucelab will run all test in different browsersthis pr also contains the changes of the cache-bust extension. because i didnt run the `build` grunt task on that prlets see if all going right.  all tests passwill close #1027,neutral
clappr/clappr,karma,2014-11-14T13:31:02Z,i started to update it but started to get some errors. i'm following this at nikku/karma-browserify/issues/50,negative
JustinTulloss/zeromq.node,mocha,2014-10-04T17:54:27Z,kkoopa ronkorving still looking good for testing but i am seeing timeouts still. the default timeout for mocha is 2000ms. can we change this to say 5000ms or maybe even 10s so when travis is overloaded we wont get failures?  "--timeout <ms>" / "-t <ms>" in the makefile where mocha is called.,negative
prebid/Prebid.js,standard,2018-01-05T19:19:10Z,yozaz . thank you very much for your quick reply.i will contact undertone to see why they suggested using a 0x0 slot. there might be some confusion with their implementation since i think this is the first test of their bidder adapter. it could also be that the key value targeting is incorrect. thanks. i have a lot of things to check for debugging this problem.,positive
prebid/Prebid.js,standard,2018-01-08T16:05:10Z,matthewlane do we need a standard key for media type now?,neutral
arose/ngl,standard,2017-07-26T08:53:47Z,right. standard output doesn't do it. writing would be different but not an issue in ngl - sry and thx!,neutral
asset-pipe/asset-pipe-sink-mem,eslint,2017-12-04T13:49:36Z,chore: add eslint check for missing deps. ## status**ready**## descriptionadds dep checking,negative
canjs/canjs,sauce,2016-11-07T15:40:13Z,phillipskevin how do we get the saucelabs image updated?,neutral
canjs/canjs,sauce,2016-11-07T18:40:30Z,looks like this was reverted. which is why ie 11 isn't showing up in the sauce labs badge.,negative
tjunnone/npm-check-updates,mocha,2015-09-09T23:38:33Z,i uninstalled all modules and installed them one by one to check what causes the problem.it seems to be related to generator-mocha and all yeoman generators using mocha and generator-mocha modules (in my case. generator-backbone). i can reproduce the problem by uninstall and installing that particular module.,neutral
babel/babylon,codecov,2016-08-17T16:10:00Z,correct codecoverage paths,neutral
babel/babylon,codecov,2016-08-17T16:15:29Z,.,neutral
babel/babylon,codecov,2016-08-30T21:29:16Z,change to export codecoverage as json,neutral
babel/babylon,eslint,2016-11-19T02:52:28Z,krainboltgreene bablyon doesn't support external plugins (so _plugin_ is a bit of a misnomer here). the `plugins` option takes an array of strings for _built-in_ parser plugins. this pr just makes it easier for tooling (like astexplorer or babel-eslint) to enable all parser options without having to maintain a separate list.,neutral
sasstools/sass-lint,mocha,2015-09-17T16:11:27Z,indentation test failing on windows (newline related?). i have the project checked out on windows using unix style line endings. running `npm test` on develop i see the following failure:```1 failing  1) indentation [size: 2]:      assertionerror: 8 == 0      + expected - actual      -8      +0      at c:\users\jclanton\documents\github\sass-lint\tests\rules\indentation.js:15:19      at object.module.exports.test (c:\users\jclanton\documents\github\sass-lint\tests\rules\_lint.js:33:3)      at context.<anonymous> (c:\users\jclanton\documents\github\sass-lint\tests\rules\indentation.js:12:10)      at callfnasync (c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runnable.js:306:8)      at test.runnable.run (c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runnable.js:261:7)      at runner.runtest (c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runner.js:417:10)      at c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runner.js:524:12      at next (c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runner.js:338:14)      at c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runner.js:348:7      at next (c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runner.js:281:14)      at immediate._onimmediate (c:\users\jclanton\documents\github\sass-lint\node_modules\mocha\lib\runner.js:316:5)```this may be related to how `os.eol` is used in the indentation rule. but i have not yet had time to verify that.,negative
